name,country,state,county,city,street_address,zip_code,latitude,longitude,email,website,phone_number,type,is_operational,description
Lost Harbor Cemetery,United States,Alaska,Aleutians East Borough,Lost Harbor (historical),Lost Harbor (historical),,54.2453243,-165.6148784,,https://www.findagrave.com/cemetery/2661849/lost-harbor-cemetery,,human,true,
U.S. Coast Guard Gravesite,United States,Alaska,Aleutians East Borough,Nosovskoi (historical),Nosovskoi (historical),,54.3946821,-164.7433141,,,,human,true,
Sand Point Cemetery,United States,Alaska,Aleutians East Borough,Sand Point,Sand Point,,55.3425964,-160.4969301,,,,human,true,
Russian Orthodox Cemetery,United States,Alaska,Aleutians East Borough,Sand Point,Sand Point,,55.3367005,-160.4973838,,,,human,true,
Trout Creek Cemetery,United States,Alaska,Aleutians East Borough,Cold Bay,Cold Bay,,55.2361403,-162.7195313,,,,human,true,
Morzhovoi Cemetery,United States,Alaska,Aleutians East Borough,Morzhovoi,Morzhovoi,,54.9087877,-163.3078983,,,,human,true,
Cold Bay Cemetery,United States,Alaska,Aleutians East Borough,Cold Bay,Cold Bay,,55.2083894,-162.7114464,,,,human,true,
Belkofski Cemetery,United States,Alaska,Aleutians East Borough,Belkofski,Belkofski,,55.0907044,-162.0330705,,,,human,true,
Operl Cemetery,United States,Alaska,Aleutians East Borough,Cold Bay,Cold Bay,,55.2940343,-162.935489,,https://www.findagrave.com/memorial/142110315/william-ode,,human,true,
Baldy Cemetery,United States,Alaska,Aleutians East Borough,Cold Bay,Cold Bay,,55.1850442,-162.7820148,,,,human,true,
AMERICAN CEMETERY,United States,Alaska,Aleutians East Borough,Unga,Unga,,55.1832595,-160.5064759,,,,human,true,
RUSSIAN ALEUT,United States,Alaska,Aleutians East Borough,Unga,Unga,,55.1840196,-160.507208,,,,human,true,
Lone grave,United States,Alaska,Aleutians East Borough,Unga,Unga,,55.1827651,-160.509552,,,,human,true,
"""Down-the Point"" Cemetery",United States,Alaska,Aleutians East Borough,Squaw Harbor,Squaw Harbor,,55.2402082,-160.5394002,,,,human,true,
Pirate Cove Cemetery,United States,Alaska,Aleutians East Borough,Sand Point,Sand Point,,55.3608424,-160.3654684,,,,human,true,
Squaw Harbor Cemetery,United States,Alaska,Aleutians East Borough,Squaw Harbor,Squaw Harbor,,55.2422512,-160.5523053,,,,human,true,
Fort Randall Post Cemetery,United States,Alaska,Aleutians East Borough,Cold Bay,Cold Bay,,55.2453618,-162.7481689,,https://www.facebook.com/groups/147158991880,,human,true,
Arseny Galashoff Cemetery,United States,Alaska,Aleutians East Borough,Cold Bay,Cold Bay,,55.2798186,-162.6884807,,,,human,true,
Nelson Lagoon Cemetery,United States,Alaska,Aleutians East Borough,Nelson Lagoon,Nelson Lagoon,,56.0008186,-161.2038482,,,,human,true,
NLG Cemetery East,United States,Alaska,Aleutians East Borough,Nelson Lagoon,Nelson Lagoon,,56.0010213,-161.2008616,,,,human,true,
King Cove Cemetery,United States,AK,Aleutians East Borough,King Cove,116 Heart Lake Road,,55.0623488,-162.3121291,,,,human,true,
Wosnesenski  Cemetery,United States,Alaska,Aleutians East Borough,Pavlof,Pavlof,,55.2171327,-161.3624278,,,,human,true,
Chignik Bay Cemetery North,United States,Alaska,Lake and Peninsula Borough,Chignik,Chignik,,56.301708,-158.4146844,,,,human,true,
Tʼanag̱eey Graveyard,United States,Alaska,Hoonah-Angoon Census Area,Tenakee Springs,Tenakee Springs,,57.7790885,-135.1940954,,,,human,true,
Russian Cemetery,United States,Alaska,Sitka City and Borough,Sitka,Sitka,,57.0523515,-135.337798,,,,human,true,
Lutheran Cemetery,United States,Alaska,Sitka City and Borough,Sitka,Sitka,,57.0511872,-135.3379613,,,,human,true,
ANB Cemetery,United States,Alaska,Sitka City and Borough,Sitka,Sitka,,57.0548405,-135.3185566,,,,human,true,
Old City Cemetery,United States,Alaska,Sitka City and Borough,Sitka,Sitka,,57.0575844,-135.3325433,,,,human,true,
Moose Cemetery,United States,Alaska,Sitka City and Borough,Sitka,Sitka,,57.0566075,-135.3314435,,,,human,true,
Petersburg Cemetery,United States,Alaska,Petersburg Borough,Kupreanof,Kupreanof,,56.801192,-132.9803275,,,,human,true,
Wrangell Memorial Cemetery,United States,Alaska,City and Borough of Wrangell,Wrangell,Wrangell,,56.4544208,-132.3824135,,,,human,true,
Bayview Cemetery,United States,Alaska,Ketchikan Gateway Borough,Pennock Island,Pennock Island,,55.335026,-131.6260092,,,,human,true,
Fairview Cemetery,United States,Alaska,Ketchikan Gateway Borough,Port Tongass Village,Port Tongass Village,,54.2912929,-130.3487646,,,,human,true,
Metlakatla Cemetery,United States,Alaska,Prince of Wales-Hyder Census Area,Metlakatla,Metlakatla,,55.1174658,-131.5967073,,,,human,true,
Mekoryuk Cemetery,United States,Alaska,Bethel Census Area,Mekoryuk,Mekoryuk,,60.3901425,-166.1875058,,https://www.poa.usace.army.mil/Portals/34/docs/civilworks/BEA/Mekoryuk_Final%20Report.pdf,,human,true,
Toksook Bay Cemetery,United States,Alaska,Bethel Census Area,Toksook Bay,Toksook Bay,,60.5349569,-165.1079715,,,,human,true,
Ridgecrest Memorial Cemetery,United States,Alaska,Bethel Census Area,Bethel,Bethel,,60.7964934,-161.7763141,,,,human,true,
Bethel Memorial Cemetery and Memorial Park,United States,AK,Bethel Census Area,Bethel,300 Tower Road,99559,60.7818048,-161.855887,,,,human,true,
Bethel Veterans Cemetery,United States,Alaska,Bethel Census Area,Bethel,Bethel,,60.7822168,-161.8542098,,,,human,true,
St. Sophia Church Cemetery,United States,Alaska,Bethel Census Area,Bethel,Bethel,,60.8062006,-161.788271,,,,human,true,
Oscarville Cemetery,United States,Alaska,Bethel Census Area,Oscarville,Oscarville,,60.7217081,-161.7695624,,,,human,true,
Akiachak Cemetery,United States,Alaska,Bethel Census Area,Akiachak,Akiachak,,60.9160272,-161.4367547,,,,human,true,
Eek Cemetery,United States,Alaska,Bethel Census Area,Eek,Eek,,60.2203348,-162.040966,,,,human,true,
Levelock Cemetery,United States,Alaska,Lake and Peninsula Borough,Levelock,Levelock,,59.1072567,-156.8644336,,,,human,true,
Anchorage Memorial Park Cemetery,United States,AK,Anchorage Municipality,Anchorage,535 East 9th Avenue,99501,61.2151003,-149.8761055,,https://www.muni.org/Departments/parks/cemetery/Pages/default.aspx,,human,true,
Hickerson Memorial Cemetery,United States,Alaska,Kenai Peninsula Borough,Diamond Ridge,Diamond Ridge,,59.6805648,-151.6551866,,,,human,true,
Palmer Pioneer Cemetery,United States,Alaska,Matanuska-Susitna Borough,Palmer,Palmer,,61.6076606,-149.0919038,,,,human,true,
Spruce Grove Memorial Park,United States,Alaska,Kenai Peninsula Borough,Kasilof,Kasilof,,60.351567,-151.2670773,,,,human,true,
Homer Community Cemetery,United States,Alaska,Kenai Peninsula Borough,Homer,Homer,,59.6516067,-151.5146226,,,,human,true,
Kasilof Boat Harbor Cemetery,United States,Alaska,Kenai Peninsula Borough,Cohoe,Cohoe,,60.3914602,-151.2928095,,,,human,true,
American Legion Cemetery,United States,Alaska,Kenai Peninsula Borough,Ninilchik,Ninilchik,,60.0500571,-151.6638253,,,,human,true,
Cooper Landing Cemetery,United States,Alaska,Kenai Peninsula Borough,Cooper Landing,Cooper Landing,,60.4923054,-149.8354547,,,,human,true,
Angelus Memorial Park,United States,Alaska,Anchorage Municipality,Campbell,Campbell,,61.1140164,-149.8716001,,,,human,true,
Wasilla Cemetary,United States,Alaska,Matanuska-Susitna Borough,Wasilla,Wasilla,,61.5915518,-149.443913,,,,human,true,
