name,country,state,county,city,street_address,zip_code,latitude,longitude,email,website,phone_number,type,is_operational,description
Adams Chapel Cemetery,United States,Arkansas,Ouachita County,Good Hope,Good Hope,,33.6115023,-93.054055,,,,human,true,
Antioch Cemetery,United States,Arkansas,Columbia County,Box Springs,Box Springs,,33.2695723,-93.3443373,,,,human,true,
Baker Cemetery,United States,Arkansas,Columbia County,Talley,Talley,,33.1917979,-93.079609,,,,human,true,
Belk Cemetery,United States,Arkansas,Hempstead County,Ozan,Ozan,,33.8323375,-93.7321252,,,,human,true,
Bell Bluff Cemetery,United States,Arkansas,Pike County,Billstown,Billstown,,33.9853867,-93.594625,,,,human,true,
Bethel Cemetery,United States,Arkansas,Columbia County,Atlanta,Atlanta,,33.1273564,-93.0582193,,,,human,true,
Blevins Cemetery,United States,Arkansas,Hempstead County,Blevins,Blevins,,33.8534456,-93.5804564,,,,human,true,
Bradshaw Cemetery,United States,Arkansas,Little River County,Arden,Arden,,33.6773406,-94.3052004,,,,human,true,
Brown Cemetery,United States,Arkansas,Clark County,Gurdon,Gurdon,,33.927603,-93.1571148,,,,human,true,
Buchanan Cemetery,United States,Arkansas,Nevada County,Boughton,Boughton,,33.8401091,-93.3548946,,,,human,true,
Buck Range Cemetery,United States,Arkansas,Howard County,Schooley,Schooley,,33.8301166,-93.861574,,,,human,true,
Christopher Cemetery,United States,Arkansas,Nevada County,Mendenhall,Mendenhall,,33.5509501,-93.1448894,,,,human,true,
Coulter Cemetery,United States,Arkansas,Howard County,Rosedale (historical),Rosedale (historical),,33.9856197,-94.0179819,,,,human,true,
Cummings Cemetery,United States,Arkansas,Lafayette County,Mount Pleasant,Mount Pleasant,,33.4581773,-93.4876761,,,,human,true,
Dickson Cemetery,United States,Arkansas,Columbia County,Waldo,Waldo,,33.3315147,-93.2943361,,,,human,true,
Dowden Cemetery,United States,Arkansas,Little River County,Millwood,Millwood,,33.6609542,-93.9768553,,,,human,true,
