name,country,state,county,city,street_address,zip_code,latitude,longitude,email,website,phone_number,type,is_operational,description
Panteón,United States,Arizona,Pima County,Tatkum Vo,Tatkum Vo,,29.907503,-112.6726131,,,,human,true,
Panteón de Ures,United States,Arizona,Santa Cruz County,Lochiel,Lochiel,,29.4275172,-110.3767079,,,,human,true,
Cementerio Municipal,United States,Arizona,Cochise County,Naco,Naco,,29.995447,-109.7733272,,,,human,true,
Panteon Municipal,United States,Arizona,Cochise County,Douglas,Douglas,,29.8622486,-109.3142558,,,,human,true,
Panteón Publica San Felipe,United States,Arizona,Yuma County,San Luis,San Luis,,31.0290048,-114.8450847,,,,human,true,
El Oro Cemetery,United States,Arizona,Santa Cruz County,Old Glory,Old Glory,,31.4276728,-111.2775543,,,,human,true,
Oro Blanco Cemetery,United States,Arizona,Santa Cruz County,Oro Blanco,Oro Blanco,,31.4893385,-111.2812398,,,,human,true,
Otero Cemetery,United States,Arizona,Santa Cruz County,Otero,Otero,,31.5309251,-111.0287598,,,,human,true,
Arivaca Cemetary,United States,Arizona,Pima County,Arivaca,Arivaca,,31.5766669,-111.3313543,,,,human,true,
Tumacacori Mission Cemetery,United States,Arizona,Santa Cruz County,Tumacacori,Tumacacori,,31.5689938,-111.0509479,,,,human,true,
Panteón El Sásabe,United States,Arizona,Pima County,Sasabe,Sasabe,,31.4632548,-111.5453467,,,,human,true,
Garcia Ranch Cemetery,United States,Arizona,Pima County,Sandwash Mill,Sandwash Mill,,31.4842892,-111.4620097,,,,human,true,
Topawa Village Cemetery,United States,Arizona,Pima County,Topawa,Topawa,,31.7979458,-111.8481471,,,,human,true,
Choulic Cemetery,United States,Arizona,Pima County,Choulic,Choulic,,31.6766243,-111.7770775,,,,human,true,
Choulic Village Cemetery,United States,Arizona,Pima County,Choulic,Choulic,,31.6842876,-111.7827606,,,,human,true,
San Miguel Cemetery,United States,Arizona,Pima County,San Miguel,San Miguel,,31.6046598,-111.7790767,,,,human,true,
Twin Buttes Cemetery,United States,Arizona,Pima County,Twin Buttes,Twin Buttes,,31.9041844,-111.0668596,,,,human,true,
Amado Cemetery,United States,Arizona,Santa Cruz County,Amado,Amado,,31.7078767,-111.0710158,,,,human,true,
Arivaca Junction Cemetery,United States,Arizona,Pima County,Arivaca Junction,Arivaca Junction,,31.7370212,-111.0528786,,,,human,true,
California Gulch Cemetery,United States,Arizona,Santa Cruz County,Old Glory,Old Glory,,31.4321393,-111.243333,,,,human,true,
Cerro Colorado Cemetery,United States,Arizona,Pima County,Arivaca,Arivaca,,31.660726,-111.2728222,,,,human,true,
Chavez Cemetery,United States,Arizona,Santa Cruz County,Sotos Crossing (historical),Sotos Crossing (historical),,31.6516866,-111.0418601,,,,human,true,
Cowlic Cemetery,United States,Arizona,Pima County,Cowlic,Cowlic,,31.7895053,-112.0059919,,,,human,true,
Fresnal Canyon Cemetery,United States,Arizona,Pima County,Chiuli Shaik,Chiuli Shaik,,31.8300214,-111.6562324,,,,human,true,
King's Rendondo Memorial,United States,Arizona,Pima County,Uhs Kug,Uhs Kug,,31.8732387,-111.5492152,,,,human,true,
Komlic Cemetery,United States,Arizona,Pima County,Topawa,Topawa,,31.8172733,-111.8267541,,,,human,true,
Little Tucson Cemetery,United States,Arizona,Pima County,Ali Molina,Ali Molina,,31.8912718,-111.7907336,,,,human,true,
McGee Ranch Cemetery,United States,Arizona,Pima County,San Xavier,San Xavier,,31.893491,-111.1824211,,,,human,true,
Menagers Dam Cemetery,United States,Arizona,Pima County,Ali Ak Chin,Ali Ak Chin,,31.8527609,-112.5585286,,,,human,true,
Moyza Ranch Road Cemetery,United States,Arizona,Pima County,Arivaca,Arivaca,,31.6353564,-111.2383601,,,,human,true,
Presbyterian Cemetery,United States,Arizona,Pima County,Sells,Sells,,31.9219657,-111.8607308,,,,human,true,
Saint Josephs Cemetery,United States,Arizona,Santa Cruz County,Tumacacori,Tumacacori,,31.5655514,-111.0376845,,,,human,true,
Tubac Cemetery,United States,Arizona,Santa Cruz County,Tubac,Tubac,,31.616122,-111.0485598,,,,human,true,
Vamori Village Cemetery,United States,Arizona,Pima County,Vamori,Vamori,,31.714162,-111.9025261,,,,human,true,
Ruby Cemetery,United States,Arizona,Santa Cruz County,Ruby,Ruby,,31.4552258,-111.2313513,,,,human,true,
Buffalo Soldiers Cemetary,United States,Arizona,Santa Cruz County,Casa Piedra,Casa Piedra,,31.3988732,-111.241783,,,,human,true,
Naco Cemetery,United States,Arizona,Cochise County,Naco,Naco,,31.3538592,-109.9513123,,,,human,true,
Fort Huachuca Cemetery,United States,Arizona,Cochise County,Bonnie Blink,Bonnie Blink,,31.5485387,-110.3768763,,,,human,true,
