name,country,state,county,city,street_address,zip_code,latitude,longitude,email,website,phone_number,type,is_operational,description
Panteón,United States,California,San Diego County,Jacumba Hot Springs,Jacumba Hot Springs,,30.6614833,-115.9565709,,,,human,true,
Jardines de San Ramon Cementerio,United States,California,San Diego County,Tecate,Tecate,,31.9044314,-116.5786389,,,,human,true,
Holy Cross Cemetery,United States,California,Los Angeles County,Ladera Heights,Ladera Heights,,33.9927783,-118.3846527,,,,human,true,
Hillside Memorial Park,United States,California,Los Angeles County,Ladera Heights,Ladera Heights,,33.9800303,-118.3887532,,,,human,true,
Forest Lawn Memorial Park,United States,California,Orange County,Lincoln Center Mobile Home Park,Lincoln Center Mobile Home Park,,33.8352914,-118.0560019,,,,human,true,
Fort Rosecrans National Cemetery,United States,California,San Diego County,San Diego,Cabrillo Memorial Drive,92106,32.6875095,-117.2447224,,https://www.cem.va.gov/cems/nchp/ftrosecrans.asp,+1-619-553-2084,human,true,
Long Beach Municipal Cemetery,United States,California,Los Angeles County,Signal Hill,Signal Hill,,33.8053551,-118.1769311,,,,human,true,
Old Downey Cemetery,United States,CA,Los Angeles County,Downey,9073 Gardendale Street,90242,33.910174,-118.1409106,CemeteryDistrict@downeyca.org,https://www.downeyca.org/our-city/departments/parks-recreation/cemetery-district,+1-562-904-7238,human,true,
All Souls Cemetery,United States,California,Los Angeles County,Bixby Knolls,4400 Cherry Avenue,90807,33.8398379,-118.1658276,,http://allsoulsmortuary.com,+1 562-424-8601,human,true,
"Forest Lawn, Long Beach",United States,California,Los Angeles County,Bixby Knolls,Bixby Knolls,,33.8432583,-118.169698,,,,human,true,
Queen of Heaven Cemetery,United States,CA,Los Angeles County,Rowland Heights,2161 Fullerton Rd,91748,33.9824104,-117.9134722,,http://www.queenofheavenmortuary.com,+1 626 964 1291,human,true,
Olivewood Cemetery,United States,California,Riverside County,Pachappa,Pachappa,,33.9529773,-117.3799845,,,,human,true,
Corona Sunnyslope Cemetery,United States,California,Riverside County,Porphyry,Porphyry,,33.8683704,-117.5470331,,,,human,true,
Desert Lawn Memorial Park,United States,California,Riverside County,Nicklin,Nicklin,,33.9565835,-117.0220573,,,,human,true,
Riverside National Cemetery,United States,CA,Riverside County,Riverside,22495 Van Buren Blvd,92518,33.876898,-117.2758367,,https://www.cem.va.gov/cems/nchp/riverside.asp,+1 951 653 8417,human,true,
Perris Valley Cemetery,United States,California,Riverside County,Perris,Perris,,33.7947097,-117.2238412,,,,human,true,
Murrieta Cemetery,United States,California,Riverside County,Murrieta,Murrieta,,33.5416847,-117.2218048,,,,human,true,
Temecula Cemetery,United States,California,Riverside County,Temecula,Temecula,,33.491556,-117.1414175,,,,human,true,
Elsinore Valley Cemetery,United States,California,Riverside County,North Elsinore,North Elsinore,,33.6940521,-117.3429649,,,,human,true,
Evergreen Cemetery,United States,California,Riverside County,Spring Rancheria,Spring Rancheria,,33.9795576,-117.3868443,,http://www.evergreen-cemetery.info/,,human,true,
Odd Fellows Community Cemetery,United States,California,San Diego County,Fallbrook,Fallbrook,,33.3681827,-117.2573959,,,,human,true,
