name,country,state,county,city,street_address,zip_code,latitude,longitude,email,website,phone_number,type,is_operational,description
Nash Cemetery,United States,Colorado,San Miguel County,Basin,Basin,,37.8580477,-108.4306437,,,,human,true,
Memorial Garden,United States,Colorado,Montezuma County,Arriola,Arriola,,37.4002394,-108.6211016,,,,human,true,
Shreck Cemetery,United States,Colorado,La Plata County,Columbus,Columbus,,37.3538912,-107.687561,,,,human,true,
West Dolores County Cemetery,United States,Colorado,Dolores County,Dove Creek,Dove Creek,,37.7642842,-108.912352,,,,human,true,
Green Mountain Cemetery,United States,Colorado,La Plata County,Durango,Durango,,37.27466,-107.8889403,,,,human,true,
Lone Tree Cemetery,United States,Colorado,San Miguel County,Liberty Bell,Liberty Bell,,37.9360002,-107.8002287,,,,human,true,
Hilltop Cemetery,United States,Colorado,Archuleta County,Pagosa Springs,Pagosa Springs,,37.2711009,-107.0214299,,,,human,true,
Cortez Cemetery,United States,Colorado,Montezuma County,Cortez,Cortez,,37.3547676,-108.54576,,,,human,true,
Sunset Memorial Gardens,United States,Colorado,Montezuma County,Dolores,Dolores,,37.4531251,-108.5004587,,,,human,true,
Sylvan Cemetery,United States,Colorado,Dolores County,Cahone,Cahone,,37.5794127,-108.8856353,,,,human,true,
Goodman Point Cemetery,United States,Colorado,Montezuma County,Arriola,Arriola,,37.4126165,-108.7129049,,,,human,true,
Fairview Cemetery,United States,Colorado,Montezuma County,Yellow Jacket,Yellow Jacket,,37.5439342,-108.7405261,,,,human,true,
Lamb Cemetery,United States,Colorado,Montezuma County,Towaoc,Towaoc,,37.3417996,-108.8107572,,,,human,true,
Cedar Grove Cemetery,United States,Colorado,Montezuma County,Mancos,Mancos,,37.3354158,-108.288441,,,,human,true,
Weber Cemetery,United States,Colorado,Montezuma County,Weber,Weber,,37.3260717,-108.2836479,,,,human,true,
Elco Cemetery,United States,Colorado,La Plata County,Bondad,Bondad,,37.0669321,-107.8895121,,,,human,true,
La Boca Cemetery,United States,Colorado,La Plata County,La Boca,La Boca,,37.0004031,-107.5962495,,,,human,true,
Tiffany Cemetery,United States,Colorado,La Plata County,Tiffany,Tiffany,,37.0088952,-107.5414123,,,,human,true,
Allison Tiffany Cemetery,United States,Colorado,La Plata County,Tiffany,Tiffany,,37.0274824,-107.5196318,,,,human,true,
Ouray Memorial Cemetery,United States,Colorado,La Plata County,Ignacio,Ignacio,,37.1254913,-107.6278022,,,,human,true,
Marvel Cemetery,United States,Colorado,La Plata County,Kline,Kline,,37.1263727,-108.1095296,,,,human,true,
Kline Cemetery,United States,Colorado,La Plata County,Kline,Kline,,37.1510169,-108.1289301,,,,human,true,
Ute Mountain Tribal Cemetery,United States,Colorado,Montezuma County,Towaoc,Towaoc,,37.1965541,-108.7289852,,,,human,true,
Hay Gulch Cemetery,United States,Colorado,La Plata County,Breen,Breen,,37.2428877,-108.1340755,,,,human,true,
Crestview Memorial Garden,United States,Colorado,La Plata County,Loma Linda,Loma Linda,,37.228833,-107.7965507,,,,human,true,
Bayfield Cemetery,United States,Colorado,La Plata County,Bayfield,Bayfield,,37.2370787,-107.603606,,,,human,true,
Hesperus Cemetery,United States,Colorado,La Plata County,Hesperus,Hesperus,,37.2721499,-108.0285748,,,,human,true,
Animas Cemetery,United States,Colorado,La Plata County,Durango,Durango,,37.2909187,-107.85871,,,,human,true,
Thompson Park Cemetery,United States,Colorado,La Plata County,Mayday,Mayday,,37.3250409,-108.172708,,,,human,true,
Majors Cemetery,United States,Colorado,Montezuma County,Cortez,Cortez,,37.3157379,-108.6666786,,,,human,true,
Arriola Cemetery,United States,Colorado,Montezuma County,Arriola,Arriola,,37.4204632,-108.6468435,,,,human,true,
Sunnyside Cemetery,United States,Colorado,Montezuma County,Lewis,Lewis,,37.5012678,-108.6600546,,,,human,true,
Hermosa Cemetery,United States,Colorado,La Plata County,Hermosa,Hermosa,,37.4272574,-107.8184495,,,,human,true,
Lebanon Cemetery,United States,Colorado,Montezuma County,Lebanon,Lebanon,,37.4509473,-108.5911168,,,,human,true,
Rico Cemetery,United States,Colorado,Dolores County,Rico,Rico,,37.6790496,-108.0345676,,,,human,true,
Hillside Cemetery,United States,Colorado,San Juan County,Silverton,Silverton,,37.8194521,-107.6517275,,,,human,true,
Pagosa Junction Cemetery,United States,Colorado,Archuleta County,Gato,Gato,,37.0480318,-107.1961343,,,,human,true,
Sheek Cemetery,United States,Colorado,Montezuma County,Mancos,Mancos,,37.3799498,-108.2379853,,,,human,true,
Peel Cemetery,United States,Colorado,San Miguel County,Egnar,Egnar,,37.8658939,-108.9489525,,,,human,true,
The People's Cemetery,United States,Colorado,Montezuma County,Dolores,Dolores,,37.4712237,-108.519193,,,,human,true,
Warshaver Cemetery,United States,Colorado,Conejos County,Conejos,Conejos,,37.08279,-106.0158554,,,,human,true,
Gonzales Cemetery,United States,Colorado,Huerfano County,Malachite,Malachite,,37.7341719,-105.2600027,,,,human,true,
Sanches Cemetery,United States,Colorado,Huerfano County,Farisita,Farisita,,37.6761197,-105.0983311,,,,human,true,
Oak View Cemetery,United States,Colorado,Huerfano County,Occidental,Occidental,,37.5411212,-105.1016663,,,,human,true,
Brennaman Cemetery,United States,Colorado,Costilla County,Fort Garland,Fort Garland,,37.4265825,-105.4281432,,,,human,true,
Farisita Cemetery,United States,Colorado,Huerfano County,Farisita,Farisita,,37.745,-105.0719444,,,,human,true,
Crestone Cemetery,United States,Colorado,Saguache County,Crestone,Crestone,,37.9995541,-105.7080962,,,,human,true,
La Veta Cemetery,United States,Colorado,Huerfano County,La Veta,La Veta,,37.5036065,-104.9989429,,,,human,true,
Tercio Cemetery,United States,Colorado,Las Animas County,Tercio,Tercio,,37.0622728,-105.0125069,,,,human,true,
Stonewall Cemetery,United States,CO,Las Animas County,Stonewall,Cemetery Road,,37.1576199,-105.0269741,,,,human,true,
Monte Vista Cemetery,United States,Colorado,Rio Grande County,Torres,Torres,,37.5909829,-106.1973494,,,,human,true,
New Manassa Cemetery,United States,Colorado,Conejos County,Los Cerritos,Los Cerritos,,37.1488219,-105.9203497,,,,human,true,
New Conejos & Los Cerritos Cemetery,United States,Colorado,Conejos County,Los Cerritos,Los Cerritos,,37.1494589,-105.9128273,,,,human,true,
Old Manassa Cemetery,United States,Colorado,Conejos County,Manassa,Manassa,,37.1573762,-105.9368399,,,,human,true,
La Jara Cemetery,United States,Colorado,Conejos County,La Jara,La Jara,,37.2974192,-105.9617621,,,,human,true,
Sanford Cemetery,United States,Colorado,Conejos County,Sanford,Sanford,,37.2370442,-105.9109505,,,,human,true,
Conejos Cemetery,United States,Colorado,Conejos County,Conejos,Conejos,,37.0837801,-106.017888,,,,human,true,
Antonito Cemetery,United States,Colorado,Conejos County,Conejos,Conejos,,37.0818727,-106.0161973,,,,human,true,
Carnero Creek Cemetery,United States,Colorado,Saguache County,La Garita,La Garita,,37.8453245,-106.2579859,,,,human,true,
Old Town Cemetery,United States,Colorado,Costilla County,Viejo San Acacio,Viejo San Acacio,,37.1930262,-105.5097127,,,,human,true,
Grotto of Our Lady of Guadalupe,United States,Colorado,Costilla County,San Luis,San Luis,,37.2022883,-105.4307558,,,,human,true,
Gardner Cemetery,United States,Colorado,Huerfano County,Gardner,Gardner,,37.782854,-105.1957346,,,,human,true,
San Luis Valley Cemetery,United States,Colorado,Rio Grande County,Torres,Torres,,37.5962141,-106.210806,,,,human,true,
Lariat Cemetery,United States,Colorado,Rio Grande County,Torres,Torres,,37.5902431,-106.2007383,,,,human,true,
Urraca Cemetery,United States,CO,Saguache County,Mosca,7800 CO-150,,37.6896039,-105.5426643,,,,human,true,
Del Norte Cemetery,United States,Colorado,Rio Grande County,Del Norte,Del Norte,,37.6563932,-106.3612792,,,,human,true,
Valdeses Cemetery,United States,Colorado,Rio Grande County,Sevenmile Plaza,West County Road 5 North,,37.647282,-106.2529474,,,,human,true,
Rock Creek Cemetery,United States,Colorado,Rio Grande County,Monte Vista,Monte Vista,,37.5087094,-106.2130289,,,,human,true,
Uracca Pioneer Cemetery,United States,CO,Costilla County,Mosca,Urraca Road,,37.6024151,-105.5714793,,,,human,true,
Capulin Cemetery,United States,Colorado,Conejos County,Capulin,Capulin,,37.2978418,-106.1099991,,,,human,true,
Saint Joseph Cemetery,United States,Colorado,Conejos County,Capulin,Capulin,,37.2842095,-106.0984791,,,,human,true,
Speiser Cemetery,United States,Colorado,Alamosa County,Hooper,Hooper,,37.7189479,-105.9753106,,,,human,true,
Maes Creek Cemetery,United States,Colorado,Huerfano County,Farisita,Farisita,,37.7995078,-105.0846684,,,,human,true,
Chama Cemetery,United States,Colorado,Huerfano County,Chama,Chama,,37.7148593,-105.2890702,,,,human,true,
De la Luz Cemetery,United States,Colorado,Conejos County,Centro,Centro,,37.3348618,-106.2154501,,,,human,true,
Cisneros Cemetery,United States,Colorado,Huerfano County,Gardner,Gardner,,37.8521576,-105.1193493,,,,human,true,
Soward Cemetery,United States,Colorado,Conejos County,Manassa,Manassa,,37.1580533,-105.938677,,,,human,true,
Los Lasauses Pentecostal Cemetery,United States,Colorado,Conejos County,Lasauses,Lasauses,,37.2360484,-105.7558121,,,,human,true,
Gate to Heaven Cemetery,United States,Colorado,Conejos County,Lasauses,Lasauses,,37.23702,-105.755686,,,,human,true,
Becker Cemetery,United States,Colorado,Conejos County,Lasauses,Lasauses,,37.3667902,-105.7482375,,,,human,true,
Las Mesitas Cemetery,United States,Colorado,Conejos County,Las Mesitas,Las Mesitas,,37.06423,-106.1277963,,,,human,true,
Fox Creek Cemetery,United States,Colorado,Conejos County,Fox Creek,Fox Creek,,37.0754444,-106.2185468,,,,human,true,
Myer Cemetery,United States,Colorado,Costilla County,Fort Garland,Fort Garland,,37.4352173,-105.4498069,,,,human,true,
Fort Garland Cemetery,United States,Colorado,Costilla County,Fort Garland,Fort Garland,,37.4241235,-105.4278785,,,,human,true,
