name,country,state,county,city,street_address,zip_code,latitude,longitude,email,website,phone_number,type,is_operational,description
Ayers Cemetery,United States,Connecticut,Western Connecticut Planning Region,Long Ridge,Long Ridge,,41.1662069,-73.6001266,,,,human,true,
Old Levenworth Cemetery,United States,Connecticut,Northwest Hills Planning Region,Roxbury,Roxbury,,41.5645402,-73.2634491,,,,human,true,
Old Indian Cemetery,United States,Connecticut,Western Connecticut Planning Region,Sanfordtown,Sanfordtown,,41.2812069,-73.3431741,,,,human,true,
New Saint Joseph's Cemetery,United States,Connecticut,Naugatuck Valley Planning Region,East Mountain,East Mountain,,41.5370499,-73.0189215,,,,human,true,
Old Saint Joseph's Cemetery,United States,Connecticut,Naugatuck Valley Planning Region,Mill Plain,Mill Plain,,41.5447527,-73.0241918,,,,human,true,
Calvary Cemetery,United States,Connecticut,Naugatuck Valley Planning Region,Fair Lawn,Fair Lawn,,41.5413289,-73.0041559,,,,human,true,
Wooster Cemetery,United States,Connecticut,Western Connecticut Planning Region,Germantown,Germantown,,41.4067669,-73.4511605,,,,human,true,
Spring Grove Cemetery,United States,Connecticut,Western Connecticut Planning Region,Noroton,Noroton,,41.0677699,-73.4807998,,,,human,true,
Willowbrook Cemetery,United States,Connecticut,Western Connecticut Planning Region,Westport,Westport,,41.1553115,-73.3626665,,,,human,true,
Lakeview Cemetery,United States,Connecticut,Western Connecticut Planning Region,New Canaan,New Canaan,,41.1430119,-73.4817783,,,,human,true,
Stanwich Congregational Church Cemetery,United States,Connecticut,Western Connecticut Planning Region,Stanwich,Sanwich Road,,41.1138428,-73.6169994,,,,human,true,
Sharp Hill Cemetery,United States,Connecticut,Western Connecticut Planning Region,Wilton,Wilton,,41.1866022,-73.4217552,,,,human,true,
Saint Marys Cemetery,United States,Connecticut,Western Connecticut Planning Region,Pine Hill,Pine Hill,,41.0628256,-73.6215592,,,,human,true,
Saint Thomas Cemetery,United States,CT,Greater Bridgeport Planning Region,Fairfield,135 Mill Plain Road,06824,41.1426016,-73.2665566,,,,human,true,
Aspetuck Cemetery,United States,Connecticut,Greater Bridgeport Planning Region,Aspetuck,Aspetuck,,41.2327426,-73.3204588,,,,human,true,
Garden Center Cemetery,United States,Connecticut,Western Connecticut Planning Region,Richards Corner,Richards Corner,,41.1590599,-73.5093786,,,,human,true,
Long Ridge Union Cemetery,United States,Connecticut,Western Connecticut Planning Region,Long Ridge,Long Ridge,,41.1484375,-73.5973873,,,,human,true,
West Cedar Street Cemetery,United States,Connecticut,Western Connecticut Planning Region,West Norwalk,West Norwalk,,41.0997955,-73.4517789,,,,human,true,
Weed Avenue Cemetery,United States,Connecticut,Western Connecticut Planning Region,West Norwalk,Weed Avenue,,41.1177175,-73.460753,,,,human,true,
East Cemetery,United States,Connecticut,Greater Bridgeport Planning Region,Grover Hill,Grover Hill,,41.1460952,-73.2445254,,,,human,true,
Lakeview Cemetery,United States,Connecticut,Greater Bridgeport Planning Region,Newfield,Newfield,,41.1969602,-73.1733694,,,,human,true,
Putnam Cemetery,United States,Connecticut,Western Connecticut Planning Region,Pine Hill,Pine Hill,,41.0593802,-73.623058,,,,human,true,
Temple Beth El Memorial Park,United States,Connecticut,Western Connecticut Planning Region,West Norwalk,West Norwalk,,41.1079068,-73.4503835,,,,human,true,
Stratfield Cemetery,United States,Connecticut,Greater Bridgeport Planning Region,West End - West Side,West End - West Side,,41.1797256,-73.2169622,,,,human,true,
Pine Island Cemetery,United States,Connecticut,Western Connecticut Planning Region,Norwalk,Norwalk,,41.1075662,-73.4156064,,,,human,true,
Howe Cemetery,United States,Connecticut,Western Connecticut Planning Region,Pine Hill,Pine Hill,,41.0640025,-73.6506996,,,,human,true,
Water Baptist Cemetery,United States,Connecticut,Western Connecticut Planning Region,Riversville,Riversville,,41.0424524,-73.6795187,,,,human,true,
Union Cemetery,United States,Connecticut,Western Connecticut Planning Region,Winnipauk Village,Winnipauk Village,,41.1269062,-73.4158978,,,,human,true,
