name,country,state,county,city,street_address,zip_code,latitude,longitude,email,website,phone_number,type,is_operational,description
John Clark Family Graveyard,United States,Delaware,Kent County,Sandtown,Sandtown,,39.0225581,-75.6928027,,,,human,true,
Alms House Cemetery,United States,Delaware,Kent County,Rockland Hills,Rockland Hills,,39.1118424,-75.5950635,,,,human,true,
Hobbs-Hearn Cemetery,United States,Delaware,Sussex County,Lakeside Manor,Lakeside Manor,,38.5629702,-75.5666239,,,,human,true,
Lombardy Cemetery,United States,Delaware,New Castle County,Deerhurst,Deerhurst,,39.7819933,-75.542453,,,,human,true,
St. Paul Roman Catholic Cemetery,United States,Delaware,New Castle County,Birds Corner,Birds Corner,,39.562522,-75.6232427,,,+1 302-656-3323,human,true,
Saint Joseph on the Brandywine,United States,Delaware,New Castle County,Henry Clay,Henry Clay,,39.7733951,-75.5858212,,http://www.stjosephonthebrandywine.org/,,human,true,
White Clay Creek Cemetery,United States,Delaware,New Castle County,Red Mills Farms,Red Mills Farms,,39.6983473,-75.7102055,,,,human,true,
All Saints Cemetery,United States,DE,New Castle County,Wilmington,6001 Kirkwood Highway,19808,39.7148799,-75.6822854,,https://www.cdow.org/catholic-diocese-of-wilmington-offices-and-ministries/catholic-cemeteries/catholic-cemeteries-about-us/catholic-cemeteries-location-and-contact-information-all-saints-cemetery/,+1-302-737-2524,human,true,
Head of Christiana Cemetery,United States,Delaware,New Castle County,Cristine Manor,Cristine Manor,,39.693051,-75.7860388,,,,human,true,
Chester Bethel Cemetery,United States,Delaware,New Castle County,North Minister,North Minister,,39.8304148,-75.5008738,,,,human,true,
Wilmington and Brandywine Cemetery,United States,Delaware,New Castle County,Wilmington,Wilmington,,39.751739,-75.5521145,,,,human,true,
Gracelawn Memorial Park Cemetery,United States,Delaware,New Castle County,Minquadale Trailer Village,Minquadale Trailer Village,,39.7006957,-75.5675553,,,,human,true,
Mount Salem Cemetery,United States,Delaware,New Castle County,Henry Clay,Henry Clay,,39.7647081,-75.5755504,,,,human,true,
Saint Georges Cemetery,United States,Delaware,New Castle County,Saint Georges Heights,Saint Georges Heights,,39.5607703,-75.6685589,,,,human,true,
St. Paul's Old Catholic Cemetery,United States,Delaware,New Castle County,Delaware City,Delaware City,,39.578647,-75.5932272,,,,human,true,
Newark Union Cemetery,United States,Delaware,New Castle County,Normandy Manor,Normandy Manor,,39.7867039,-75.5137897,,,,human,true,
Hickory Grove Cemetery,United States,Delaware,New Castle County,Pine Valley Farms,Pine Valley Farms,,39.5232115,-75.6370722,,,,human,true,
Union Cemetary,United States,Delaware,Sussex County,Harlemtown,Harlemtown,,38.6883821,-75.3795967,,,,human,true,
Delaware Veterans Memorial Cemetery,United States,Delaware,New Castle County,Pencader Farms,Pencader Farms,,39.5501413,-75.7433674,,http://veteransaffairs.delaware.gov/dvmc.shtml,,human,true,
Lower Brandywine Cemetery,United States,Delaware,New Castle County,Piedmont,Piedmont,,39.8071222,-75.6137346,,,,human,true,
Lawn Croft Cemetery,United States,Delaware,New Castle County,Analine Village,Analine Village,,39.8197333,-75.4411175,,,,human,true,
Glebe Cemetery,United States,Delaware,New Castle County,Rogers Manor,Rogers Manor,,39.6682253,-75.5583243,,,,human,true,
Cathedral Cemetery,United States,Delaware,New Castle County,Colonial Heights,Colonial Heights,,39.7462254,-75.5812195,,,,human,true,
Beth Emeth Cemetery,United States,Delaware,New Castle County,Lancaster Village,Lancaster Village,,39.7477631,-75.5930702,,,,human,true,
Delaney Cemetery,United States,Delaware,New Castle County,Delaney Corner,Delaney Corner,,39.2997639,-75.7471594,,,,human,true,
Silverbrook Cemetery,United States,Delaware,New Castle County,Silver Springs,Silver Springs,,39.7509042,-75.5916643,,,,human,true,
Glenwood Cemetery,United States,Delaware,Kent County,Smyrna,Smyrna,,39.3029463,-75.6122782,,,,human,true,
Hollywood Cemetery,United States,Delaware,Kent County,John Char Estates,John Char Estates,,38.9246467,-75.5552139,,,,human,true,
Townsend Cemetery,United States,Delaware,New Castle County,Taylors Corner,Taylors Corner,,39.3891615,-75.7087333,,,,human,true,
