name,country,state,county,city,street_address,zip_code,latitude,longitude,email,website,phone_number,type,is_operational,description
Old Pataula Cemetery,United States,Georgia,Quitman County,Crossroads,Crossroads,,31.8446056,-85.0052053,,,,human,true,
New Park Cemetery,United States,Georgia,Clay County,Fort Gaines,Fort Gaines,,31.6024255,-85.0527059,,https://www.findagrave.com/cemetery/35820/new-park-cemetery,,human,true,
Cedar Springs Cemetery,United States,Georgia,Early County,Cedar Springs,Cedar Springs,,31.179531,-85.0368582,,https://www.findagrave.com/cemetery/33190/cedar-springs-cemetery,,human,true,
Liberty Assembly Of God Church Cemetery,United States,Georgia,Early County,Liberty,Liberty,,31.1811882,-85.0700784,,,,human,true,
Sardis Cemetery,United States,Georgia,Early County,Pleasant Hill (historical),Pleasant Hill (historical),,31.402199,-85.0320883,,https://www.findagrave.com/cemetery/36858/sardis-cemetery,,human,true,
Rock Hill Cemetery,United States,Georgia,Early County,Rock Hill,Rock Hill,,31.3263216,-85.0233176,,https://www.findagrave.com/cemetery/2385222/rock-hill-cemetery,,human,true,
Zion Free Will Baptist Church Cemetery,United States,Georgia,Early County,Sawhatchee,Sawhatchee,,31.2849012,-85.0030903,,https://www.findagrave.com/cemetery/2141052/sowhatchee-cemetery,,human,true,
Pleasant Grove Cemetery,United States,Georgia,Early County,Urquhart,Urquhart,,31.4608975,-85.0232003,,,,human,true,
Pleasant Grove AME Church Cemetery,United States,Georgia,Early County,Urquhart,Urquhart,,31.467379,-85.0190737,,,,human,true,
Saint James Cemetery,United States,Georgia,Clay County,Ricks Place,Ricks Place,,31.7790548,-85.103217,,,,human,true,
Good Hope Church Cemetery,United States,Georgia,Early County,Liberty,Liberty,,31.1833382,-85.0563375,,,,human,true,
Saint Pauls Church Cemetery,United States,Georgia,Early County,Saffold,Saffold,,31.1493173,-85.0367835,,,,human,true,
Grier Cemetery,United States,Georgia,Early County,Freeman,Freeman,,31.3353258,-85.0716627,,,,human,true,
New Bethel Cemetery,United States,Georgia,Early County,Urquhart,Urquhart,,31.5033016,-85.0256188,,,,human,true,
Ebenezer AME Church Cemetery,United States,Georgia,Early County,Hilton,Hilton,,31.2774122,-85.073843,,https://www.findagrave.com/cemetery/2377536/ebenezer-ame-church-cemetery,,human,true,
Bethel Church Cemetery,United States,Georgia,Early County,Urquhart,Urquhart,,31.4877425,-85.0184154,,,,human,true,
Thompson Grove Baptist Church Cemetery,United States,Georgia,Clay County,Fort Gaines,Fort Gaines,,31.5724769,-85.0097904,,,,human,true,
Oak Grove A.M.E. Church Cemetery,United States,Georgia,Early County,Pleasant Hill (historical),Pleasant Hill (historical),,31.4030323,-85.0414745,,https://www.findagrave.com/cemetery/2611095/oak-grove-church-cemetery,,human,true,
Old Sardis Cemetery,United States,Georgia,Early County,Pleasant Hill (historical),Pleasant Hill (historical),,31.4056797,-85.0315042,,https://www.findagrave.com/cemetery/2281535/old-sardis-cemetery,,human,true,
Shiloh Missionary Church Cemetery,United States,Georgia,Early County,Freeman,Freeman,,31.3522097,-85.0615064,,https://www.findagrave.com/cemetery/2470207/shiloh-missionary-church-cemetery,,human,true,
Georgetown Cemetery,United States,Georgia,Quitman County,Georgetown,Georgetown,,31.8870082,-85.1051691,,,,human,true,
Rose Hill Cemetery,United States,Georgia,Clay County,Fort Gaines,Fort Gaines,,31.6108317,-85.0453133,,https://www.findagrave.com/cemetery/36697/rose-hill-cemetery,,human,true,
New Lowell Cemetery,United States,Georgia,Clay County,Ricks Place,Ricks Place,,31.7298976,-85.091573,,,,human,true,
Boone Family Cemetery,United States,Georgia,Seminole County,Neals Landing,Neals Landing,,30.9631324,-85.0144628,,https://www.findagrave.com/cemetery/2348506/boone-family-cemetery,,human,true,
Saint Paul Cemetery,United States,Georgia,Quitman County,Hatcher,Hatcher,,31.812066,-85.0342,,,,human,true,
