name,country,state,county,city,street_address,zip_code,latitude,longitude,email,website,phone_number,type,is_operational,description
Brown Cemetery,United States,Iowa,Fremont County,Payne,Payne,,40.6794454,-95.70333,,,,human,true,
Cooper Cemetery,United States,Iowa,Page County,Clarinda,Clarinda,,40.7077682,-95.0135895,,,,human,true,
Rhodes Cemetery,United States,Iowa,Fremont County,Tabor,Tabor,,40.9009845,-95.7097081,,,,human,true,
Fremont County Cemetery,United States,Iowa,Fremont County,Sidney,Sidney,,40.7138895,-95.6413839,,,,human,true,
Graybill Cemetery,United States,Iowa,Pottawattamie County,Gilliatt,Gilliatt,,41.2535398,-95.7751618,,,,human,true,
Newton Cemetery,United States,Iowa,Pottawattamie County,Newtown (historical),Newtown (historical),,41.4583238,-95.3169432,,,,human,true,
Pottawattamie County Home Cemetery,United States,Iowa,Pottawattamie County,McClelland,McClelland,,41.3269416,-95.6691137,,,,human,true,
Lambert Cemetery,United States,Iowa,Fremont County,Eureka,Eureka,,40.7486128,-95.8530583,,,,human,true,
Wagner Cemetery,United States,Iowa,Fremont County,Anderson,Anderson,,40.8083328,-95.5419383,,,,human,true,
Duff Cemetery,United States,Iowa,Fremont County,Anderson,Anderson,,40.8222219,-95.600274,,,,human,true,
Saylers Farm Cemetery,United States,Iowa,Mills County,Henderson,Henderson,,41.1083296,-95.4919443,,,,human,true,
Van Eaton Cemetery,United States,Iowa,Mills County,Burr Oak,Burr Oak,,40.9388888,-95.7919494,,,,human,true,
Parker Cemetery,United States,Iowa,Mills County,White Cloud,White Cloud,,40.9694424,-95.5252755,,,,human,true,
Saar Cemetery,United States,Iowa,Mills County,Folsom,Folsom,,41.1251383,-95.7732775,,,,human,true,
County Farm Cemetery,United States,Iowa,Mills County,Balfour,Balfour,,41.0409533,-95.6840361,,,,human,true,
York Township Cemetery,United States,Iowa,Pottawattamie County,York Center,York Center,,41.3666606,-95.5836162,,,,human,true,
Castor Cemetery,United States,Iowa,Pottawattamie County,Underwood,Underwood,,41.412494,-95.6886186,,,,human,true,
Means Cemetery,United States,Iowa,Fremont County,Riverton,Riverton,,40.6716676,-95.6336049,,,,human,true,
