name,country,state,county,city,street_address,zip_code,latitude,longitude,email,website,phone_number,type,is_operational,description
Clear Creek Cemetery,United States,Idaho,Cassia County,Naf,Naf,,41.9893543,-113.2753361,,,,human,true,
Rockville Cemetery,United States,Idaho,Owyhee County,Rockville,Rockville,,43.3270927,-117.0654936,,,,human,true,
Jacob Reuben Graves,United States,Idaho,Ada County,Swan Falls,Swan Falls,,43.1726652,-116.3948345,,,,human,true,
Old Pioneer Cemetery,United States,Idaho,Boise County,Idaho City,Idaho City,,43.8318224,-115.8419275,,,,human,true,
Miner Grave,United States,Idaho,Boise County,Washington Mill,Washington Mill,,43.9498949,-115.7776101,,,,human,true,
Koppes Cemetary,United States,Idaho,Boise County,Centerville,Centerville,,43.9180938,-115.896374,,,,human,true,
Terrace Lawn Cemetery,United States,ID,Ada County,Meridian,4225 East Fairview Avenue,83642,43.6183723,-116.3407775,,,,human,true,
Meridian Cemetery,United States,ID,Ada County,Meridian,Meridian,,43.6029324,-116.3823161,,,,human,true,
Pioneer Cemetery,United States,ID,Ada County,Boise,460 East Warm Springs Avenue,83712,43.6109822,-116.1895459,,,,human,true,
Morris Hill Cemetery,United States,ID,Ada County,Boise,317 North Latah Street,83706,43.6083274,-116.2310109,,,,human,true,
Kohlerlawn Cemetery,United States,Idaho,Canyon County,Fischer,Fischer,,43.5945688,-116.5650105,,,,human,true,
Greenleaf Cemetery,United States,Idaho,Canyon County,Greenleaf,Greenleaf,,43.6687099,-116.8143792,,,,human,true,
Middleton Cemetery,United States,Idaho,Canyon County,Middleton,Middleton,,43.7165291,-116.6323152,,,,human,true,
Parma Cemetery,United States,Idaho,Canyon County,Parma,Parma,,43.7916304,-116.9518887,,,,human,true,
Mount Calvary Cemetery,United States,Idaho,Canyon County,Nampa,Nampa,,43.5479216,-116.551602,,,,human,true,
Miller Creek Cemetery,United States,Idaho,Owyhee County,Miller Creek Settlement,Miller Creek Settlement,,42.0687506,-116.1477362,,,,human,true,
Bruneau Cemetery,United States,Idaho,Owyhee County,Bruneau,Bruneau,,42.8850622,-115.7838273,,,,human,true,
Mountain View Cemetery,United States,Idaho,Elmore County,Mountain Home,Mountain Home,,43.1367036,-115.6793487,,,,human,true,
Pioneer Cemetery,United States,Idaho,Boise County,Horseshoe Bend,Horseshoe Bend,,43.9033558,-116.1918224,,,,human,true,
Hill City Cemetery,United States,Idaho,Camas County,Hill City,Hill City,,43.307407,-115.0469425,,,,human,true,
Hot Springs Cemetery,United States,Idaho,Owyhee County,Hot Springs,Hot Springs,,42.8118248,-115.7295384,,,,human,true,
Lower Boise Cemetery,United States,Idaho,Canyon County,Rookstool Corner,Rookstool Corner,,43.7597419,-116.8845604,,,,human,true,
Kennedy Cemetery,United States,Idaho,Payette County,New Plymouth,New Plymouth,,43.9751129,-116.7918498,,,,human,true,
Star Cemetery,United States,ID,Ada County,Star,9350 West Floating Feather Road,83669,43.7082055,-116.4693458,,https://starcemetery.org/,,human,true,
Falk Cemetery,United States,Idaho,Gem County,Little Rock,Little Rock,,43.9220725,-116.7354711,,,,human,true,
Wilder Cemetery,United States,Idaho,Canyon County,Wilder,Wilder,,43.6678383,-116.9231651,,,,human,true,
Sweet Cemetery,United States,Idaho,Gem County,Sweet,Sweet,,43.9540805,-116.3348329,,,,human,true,
Roswell Cemetery,United States,Idaho,Canyon County,Roswell,Roswell,,43.7432822,-116.9709658,,,,human,true,
Parkview Cemetery,United States,Idaho,Payette County,New Plymouth,New Plymouth,,43.976074,-116.8449102,,,,human,true,
Emmett Cemetery,United States,Idaho,Gem County,Emmett,Emmett,,43.8897279,-116.5026808,,,,human,true,
Cloverdale Memorial Park,United States,ID,Ada County,Cloverdale,Cloverdale,,43.6171603,-116.3319053,,,,human,true,
Kuna Cemetery,United States,ID,Ada County,Kuna,1321 West Boise Street,83634,43.495092,-116.4278577,,,,human,true,
Joplin Cemetery,United States,ID,Ada County,Eagle,12250 West Chinden Boulevard,83616,43.6634072,-116.3359571,,,,human,true,
Lower Fairview Cemetery,United States,ID,Ada County,Meridian,7880 West McMillan Road,83646,43.6488676,-116.4905146,,,,human,true,
Canyon Hill Cemetery,United States,Idaho,Canyon County,Caldwell,Caldwell,,43.6883688,-116.6756912,,,,human,true,
Silver City Cemetery,United States,Idaho,Owyhee County,Silver City,Silver City,,43.0187886,-116.7353916,,,,human,true,
Ruby City Cemetery,United States,Idaho,Owyhee County,Silver City,Silver City,,43.0298421,-116.7332866,,,,human,true,
