name,country,state,county,city,street_address,zip_code,latitude,longitude,email,website,phone_number,type,is_operational,description
Allen Cemetery,United States,Illinois,Johnson County,Elvira,Elvira,,37.4792178,-89.0300735,,,,human,true,
American Legion Cemetery,United States,Illinois,Union County,Dongola,Dongola,,37.3689393,-89.1673008,,,,human,true,
Antioch Cemetery,United States,Illinois,Union County,Water Valley,Water Valley,,37.5925503,-89.1492465,,,,human,true,
Barrow Cemetery,United States,Illinois,Randolph County,Shiloh Hill,Shiloh Hill,,37.9189402,-89.5942648,,,,human,true,
Bethel Cemetery,United States,Illinois,Pulaski County,North Mounds,North Mounds,,37.1322726,-89.2356328,,,,human,true,
Birkner Cemetery,United States,Illinois,Jackson County,Sato,Sato,,37.9092178,-89.4192579,,,,human,true,
Bethlehem Cemetery,United States,Illinois,Pulaski County,Levings,Levings,,37.2192183,-89.0842392,,,,human,true,
Bracken Cemetery,United States,Illinois,Alexander County,Thebes,Thebes,,37.2131061,-89.4384198,,,,human,true,
Bostick Cemetery,United States,Illinois,Jackson County,Etherton,Etherton,,37.6939394,-89.3431448,,,,human,true,
Bower Cemetery,United States,Illinois,Jackson County,Dry Hill,Dry Hill,,37.8378291,-89.5375969,,,,human,true,
Buchanan Cemetery,United States,Illinois,Jackson County,Degognia,Degognia,,37.8475515,-89.6345449,,,,human,true,
Brown Cemetery,United States,Illinois,Jackson County,Cora,Cora,,37.830885,-89.6742689,,,,human,true,
Brannon Cemetery,United States,Illinois,Williamson County,Wolf Creek,Wolf Creek,,37.6514393,-89.0431306,,,,human,true,
Butter Ridge Cemetery,United States,Illinois,Pulaski County,Ullin,Ullin,,37.2892173,-89.1620216,,,,human,true,
Calvin Cemetery,United States,Illinois,Pulaski County,Levings,Levings,,37.201163,-89.0595155,,,,human,true,
Cairo City Cemetery,United States,Illinois,Pulaski County,Villa Ridge,Villa Ridge,,37.158384,-89.1984095,,,,human,true,
Calhoun Cemetery,United States,Illinois,Johnson County,Goreville,Goreville,,37.5569953,-89.0189623,,,,human,true,
Chitty Cemetery,United States,Illinois,Williamson County,Wolf Creek,Wolf Creek,,37.6114395,-89.0428526,,,,human,true,
Cheatham Cemetery,United States,Illinois,Jackson County,Campbell Hill,Campbell Hill,,37.9061624,-89.5256513,,,,human,true,
Chamness Cemetery,United States,Illinois,Williamson County,Chamness (historical),Chamness (historical),,37.6994946,-89.0292412,,,,human,true,
Collins Cemetery,United States,Illinois,Union County,Alto Pass,Alto Pass,,37.5719942,-89.3350887,,,,human,true,
Cummins Cemetery,United States,Illinois,Union County,Valley Mission,Valley Mission,,37.3144706,-89.3474386,,,,human,true,
Cook Cemetery,United States,Illinois,Pulaski County,America,America,,37.1242184,-89.115072,,,,human,true,
Concord Cemetery,United States,Illinois,Pulaski County,Pryortown,Pryortown,,37.209218,-89.1192406,,,,human,true,
Creath Morris Cemetery,United States,Illinois,Jackson County,Grimsby,Grimsby,,37.7578287,-89.4500941,,,,human,true,
Creek Paum Cemetery,United States,Illinois,Jackson County,Sato,Sato,,37.9303288,-89.4020346,,,,human,true,
