name,country,state,county,city,street_address,zip_code,latitude,longitude,email,website,phone_number,type,is_operational,description
Arnold Cemetery,United States,Indiana,Spencer County,Eureka,Eureka,,37.8597691,-87.2252789,,,,human,true,
Park Lawn Cemetery,United States,Indiana,Vanderburgh County,Smythe,Smythe,,37.9563505,-87.4896406,,,,human,true,
Belle Fontaine Cemetery,United States,Indiana,Posey County,Dead Mans Crossing,Dead Mans Crossing,,37.9594977,-87.8941659,,,,human,true,
Rose Hill Cemetery,United States,Indiana,Warrick County,Camp Brosend,Camp Brosend,,37.9611873,-87.4004009,,,,human,true,
Sharon Cemetery,United States,Indiana,Warrick County,Rustic Hills,Rustic Hills,,37.9565269,-87.3818356,,,,human,true,
Oak Hill Cemetery,United States,Indiana,Vanderburgh County,Evansville,Evansville,,37.9859822,-87.5362825,,,,human,true,
Alexander Memorial Park Cemetary,United States,Indiana,Vanderburgh County,Forest Hill,Forest Hill,,37.9988929,-87.6123067,,,,human,true,
Black Cemetery,United States,Indiana,Posey County,Prairie,Prairie,,37.9300439,-87.9510734,,,,human,true,
Saint Bernard Cemetery,United States,Indiana,Spencer County,Rockport,Rockport,,37.8962746,-87.0494069,,,,human,true,
Saint Matthews Cemetery,United States,Indiana,Posey County,Farmersville,Farmersville,,37.9613742,-87.8837252,,,,human,true,
Moore Cemetery,United States,Indiana,Posey County,Farmersville,Farmersville,,37.9948642,-87.9005167,,,,human,true,
Whitehouse Cemetery,United States,Indiana,Spencer County,Ritchie,Ritchie,,37.9671046,-87.0337491,,,,human,true,
James Cemetery,United States,Indiana,Vanderburgh County,Smythe,Smythe,,37.9374084,-87.4935516,,,,human,true,
Gill Cemetery,United States,Indiana,Posey County,Dead Mans Crossing,Dead Mans Crossing,,37.9621551,-87.9199046,,,,human,true,
McCoy Cemetery,United States,Indiana,Spencer County,Centerville,Centerville,,37.96139,-87.0747976,,,,human,true,
Putman Cemetery,United States,Indiana,Vanderburgh County,Kasson,Kasson,,37.9937197,-87.6348346,,,,human,true,
Dunn Cemetery,United States,Indiana,Posey County,Upton,Upton,,37.9738964,-87.9423749,,,,human,true,
Calvin Cemetery,United States,Indiana,Posey County,Caborn,Caborn,,37.9570404,-87.7957559,,,,human,true,
Alldredge Cemetery,United States,Indiana,Posey County,Grafton,Grafton,,37.991581,-87.971711,,,,human,true,
Mount Sinai Cemetery,United States,Indiana,Vanderburgh County,Forest Hill,Forest Hill,,37.9953089,-87.6181938,,,,human,true,
Pinkston Cemetery,United States,Indiana,Spencer County,Centerville,Centerville,,37.9954769,-87.0575819,,,,human,true,
Zoar Cemetery,United States,Indiana,Spencer County,Ritchie,Ritchie,,37.9658865,-87.0637409,,,,human,true,
Stateler Cemetery,United States,Indiana,Spencer County,Lake Mill,Lake Mill,,37.9558004,-87.0849992,,,,human,true,
Hackleman Cemetery,United States,Indiana,Spencer County,Lake Mill,Lake Mill,,37.9660374,-87.0917277,,,,human,true,
Kerr Cemetery,United States,Indiana,Spencer County,Lake Mill,Lake Mill,,37.9590747,-87.1086293,,,,human,true,
Pleasant Valley Cemetery,United States,Indiana,Spencer County,Midway,Midway,,37.9943925,-87.1186635,,,,human,true,
Gwaltney Memorial Cemetery,United States,Indiana,Spencer County,Midway,Midway,,37.9991984,-87.1448165,,,,human,true,
Brown Chapel Cemetery,United States,Indiana,Warrick County,New Hope,New Hope,,37.9991468,-87.2087211,,,,human,true,
Broshears Cemetery,United States,Indiana,Warrick County,New Hope,New Hope,,37.9918187,-87.2241529,,,,human,true,
Warren Cemetery,United States,Indiana,Warrick County,Bullocktown,Bullocktown,,37.9724521,-87.2410398,,,,human,true,
Hedge Cemetery,United States,Indiana,Warrick County,Pelzer,Pelzer,,37.9678646,-87.2613149,,,,human,true,
Graff Cemetery,United States,Indiana,Warrick County,Bullocktown,Bullocktown,,37.9615558,-87.2229113,,,,human,true,
Glendale Cemetery,United States,Indiana,Spencer County,Pyeattville,Pyeattville,,37.9298015,-87.2445276,,,,human,true,
Baker Creek Cemetery,United States,Indiana,Spencer County,Eureka,Eureka,,37.8834361,-87.2055402,,,,human,true,
