name,country,state,county,city,street_address,zip_code,latitude,longitude,email,website,phone_number,type,is_operational,description
Manter Cemetery,United States,Kansas,Stanton County,Manter,Manter,,37.5195423,-101.8976258,,,,human,true,
Syracuse Cemetery,United States,Kansas,Hamilton County,Syracuse,Syracuse,,37.9924774,-101.7693046,,,,human,true,
Lakin Cemetery,United States,Kansas,Kearny County,Lakin,Lakin,,37.952022,-101.2474488,,,,human,true,
Kendall Cemetery,United States,Kansas,Hamilton County,Kendall,Kendall,,37.9432903,-101.5425131,,,,human,true,
Rolla Cemetery,United States,Kansas,Morton County,Rolla,Rolla,,37.1197337,-101.6431955,,,,human,true,
Dermot Cemetery,United States,Kansas,Grant County,Stano,Stano,,37.3452178,-101.5465972,,,,human,true,
Liverpool Cemetery,United States,Kansas,Stanton County,Julian,Julian,,37.4314019,-101.6075414,,,,human,true,
Mitchell Cemetery,United States,Kansas,Stanton County,Johnson,Johnson,,37.6866284,-101.744079,,,,human,true,
Richfield Cemetery,United States,Kansas,Morton County,Richfield,Richfield,,37.2631679,-101.747606,,,,human,true,
Sunnyvale Cemetery,United States,Kansas,Hamilton County,Coolidge,Coolidge,,37.91309,-101.9819381,,,,human,true,
Hugoton Cemetery,United States,Kansas,Stevens County,Hugoton,Hugoton,,37.1645066,-101.3304756,,,,human,true,
Bear Creek Cemetery,United States,Kansas,Stanton County,Manter,Manter,,37.76063,-101.9340406,,,,human,true,
Deer Field Cemetery,United States,Kansas,Kearny County,Deerfield,Deerfield,,37.995119,-101.1220908,,,,human,true,
Konantz Cemetery,United States,Kansas,Stanton County,Saunders,Saunders,,37.3837168,-102.0420825,,,,human,true,
O'Dea Cemetery,United States,Kansas,Stevens County,Cave,Cave,,37.3726355,-101.1242038,,,,human,true,
Moscow Cemetery,United States,Kansas,Stevens County,Moscow,Moscow,,37.3231122,-101.1921568,,,,human,true,
Wilburton Cemetery,United States,Kansas,Morton County,Wilburton,Wilburton,,37.090419,-101.7734398,,,,human,true,
Hartland Cemetery,United States,Kansas,Kearny County,Hartland,Hartland,,37.8928136,-101.3595508,,,,human,true,
Shockey Cemetery,United States,Kansas,Grant County,Bedrock Mobile Home Park,Bedrock Mobile Home Park,,37.6715337,-101.4821888,,,,human,true,
Golden Cemetery,United States,Kansas,Grant County,Stano,Stano,,37.4757041,-101.4581022,,,,human,true,
Ulysses Cemetery,United States,Kansas,Grant County,Hillcrest Trailer Court,Hillcrest Trailer Court,,37.5631599,-101.3100869,,,,human,true,
Menno Cemetery,United States,Kansas,Hamilton County,Kendall,Kendall,,37.7940024,-101.5659519,,,,human,true,
Golden Plains Cemetery,United States,Kansas,Stevens County,Woods,Woods,,37.2718298,-101.0431098,,,,human,true,
Canaan Cemetery,United States,Kansas,Grant County,Ryus,Ryus,,37.5838057,-101.0168383,,,,human,true,
Zionville Cemetery,United States,Kansas,Grant County,Razz Electric Mobile Homes,Razz Electric Mobile Homes,,37.431702,-101.3707476,,,,human,true,
Lockhart Cemetery,United States,Kansas,Meade County,Meade,Meade,,37.3432505,-100.317179,,,,human,true,
Saint Nicholas Cemetery,United States,Kansas,Edwards County,Kinsley,Kinsley,,37.9152193,-99.4244145,,,,human,true,
Ingalls Cemetery,United States,Kansas,Gray County,Ingalls,Ingalls,,37.8415916,-100.4581376,,,,human,true,
Bethel Cemetery,United States,Kansas,Edwards County,Hodges,Hodges,,37.734693,-99.4132919,,,,human,true,
Boles Cemetery,United States,Kansas,Kiowa County,Wellsford,Wellsford,,37.5647862,-99.0145603,,,,human,true,
Fairview Cemetery,United States,Kansas,Kiowa County,Greensburg,Greensburg,,37.6138689,-99.2869477,,,,human,true,
Hopewell Cemetery,United States,Kansas,Pratt County,Hopewell,Hopewell,,37.8060704,-99.0006108,,,,human,true,
Prattsburg Cemetery,United States,Kansas,Pratt County,Hopewell,Hopewell,,37.8281973,-99.0048327,,,,human,true,
Providence Cemetery,United States,Kansas,Edwards County,Trousdale,Trousdale,,37.7334546,-99.0514438,,,,human,true,
Wellsford Cemetery,United States,Kansas,Kiowa County,Wellsford,Wellsford,,37.6253387,-99.0142764,,,,human,true,
Johnson Cemetery,United States,Kansas,Ford County,Sayre,Sayre,,37.7083462,-100.215377,,,,human,true,
Dudley Cemetery,United States,Kansas,Haskell County,Satanta,Satanta,,37.4543395,-100.9810391,,,,human,true,
Haskell Cemetery,United States,Kansas,Haskell County,Western Lark Trailer Park,Western Lark Trailer Park,,37.5545803,-100.875526,,,,human,true,
Fowler Cemetery,United States,Kansas,Meade County,Fowler,Fowler,,37.3736182,-100.2011411,,,,human,true,
Evergreen Cemetery,United States,Kansas,Edwards County,Offerle,Offerle,,37.8986244,-99.5761872,,,,human,true,
Pierceville Cemetery,United States,Kansas,Finney County,Pierceville,Pierceville,,37.8861729,-100.6655772,,,,human,true,
Valley View Cemetery,United States,Kansas,Finney County,Countryside Estates Mobile Home Park,Countryside Estates Mobile Home Park,,37.9950022,-100.8683051,,,,human,true,
Ford Cemetery,United States,Kansas,Ford County,Prairie Acre Mobile Home Park,Prairie Acre Mobile Home Park,,37.6321231,-99.7414541,,,,human,true,
Liberal Cemetery,United States,Kansas,Seward County,Cimarron Mobile Home Park,Cimarron Mobile Home Park,,37.0560237,-100.9479122,,,,human,true,
Bucklin Cemetery,United States,Kansas,Ford County,Bucklin,Bucklin,,37.5429511,-99.644367,,,,human,true,
Hillside Cemetery,United States,Kansas,Edwards County,Kinsley,Kinsley,,37.937364,-99.4491166,,,,human,true,
Graceland Cemetery,United States,Kansas,Meade County,Meade,Meade,,37.2830273,-100.3190616,,,,human,true,
Evans Cemetery,United States,Kansas,Gray County,Montezuma,Montezuma,,37.5327008,-100.4787114,,,,human,true,
Greencrest Memorial Garden,United States,Kansas,Ford County,Westward Ho Mobile Home Park,Westward Ho Mobile Home Park,,37.7613153,-100.0521898,,,,human,true,
Maple Grove Cemetery,United States,Kansas,Ford County,Westward Ho Mobile Home Park,Westward Ho Mobile Home Park,,37.7610557,-100.048935,,,,human,true,
Wright Cemetery,United States,Kansas,Ford County,Wright,Wright,,37.7792985,-99.88705,,,,human,true,
Haviland Cemetery,United States,Kansas,Kiowa County,Haviland,Haviland,,37.6289869,-99.1079047,,,,human,true,
Protection Cemetery,United States,Kansas,Comanche County,Protection,Protection,,37.2129479,-99.4952774,,,,human,true,
Crown Hill Cemetery,United States,Kansas,Comanche County,Coldwater,Coldwater,,37.2717834,-99.294516,,,,human,true,
Saint John Cemetery,United States,Kansas,Ford County,Spearville,Spearville,,37.841145,-99.7541363,,,,human,true,
Silent Land Cemetery,United States,Kansas,Ford County,Spearville,Spearville,,37.8689418,-99.7536362,,,,human,true,
Kansas Veterans Cemetery,United States,Kansas,Ford County,Fort Dodge,Fort Dodge,,37.7331902,-99.9308942,,,,human,true,
Saint Josephs and Highland Cemetery,United States,Kansas,Clark County,Ashland,Ashland,,37.1992618,-99.7488891,,,,human,true,
Sunset Memorial Gardens,United States,Kansas,Finney County,Eastside Trailer Park,Eastside Trailer Park,,37.9593115,-100.7933982,,,,human,true,
Hillcrest Cemetery,United States,Kansas,Kiowa County,Mullinville,Mullinville,,37.592314,-99.4846835,,,,human,true,
Avilla Cemetery,United States,Kansas,Comanche County,Buttermilk,Buttermilk,,37.1270794,-99.3512023,,,,human,true,
Mennonite Cemetery,United States,Kansas,Comanche County,Protection,Protection,,37.1188693,-99.4794997,,,,human,true,
Lexington Cemetery,United States,Kansas,Clark County,Lexington,Lexington,,37.3233745,-99.5844991,,,,human,true,
Englewood Cemetery,United States,Kansas,Clark County,Englewood,Englewood,,37.069928,-99.9785013,,,,human,true,
Butler Cemetery,United States,Kansas,Clark County,Englewood,Englewood,,37.090378,-100.1295362,,,,human,true,
Little Congregational Cemetery,United States,Kansas,Meade County,Meade,Meade,,37.1251841,-100.2164668,,,,human,true,
Lutheran Cemetery,United States,Kansas,Meade County,Meade,Meade,,37.0965245,-100.3445415,,,,human,true,
Atwater Cemetery,United States,Kansas,Meade County,Hobart,Hobart,,37.1409101,-100.4503324,,,,human,true,
Seward Cemetery,United States,Kansas,Meade County,Missler,Missler,,37.1912167,-100.4346336,,,,human,true,
McCauley Cemetery,United States,Kansas,Meade County,Fowler,Fowler,,37.4609107,-100.2155572,,,,human,true,
Wilburn Cemetery,United States,Kansas,Meade County,Fowler,Fowler,,37.4743921,-100.1264071,,,,human,true,
Concord Cemetery,United States,Kansas,Ford County,Sayre,Sayre,,37.5911153,-100.1161456,,,,human,true,
Ensign Cemetery,United States,Kansas,Gray County,Ensign,Ensign,,37.6276784,-100.2341784,,,,human,true,
Cave Cemetery,United States,Kansas,Gray County,Ensign,Ensign,,37.5470655,-100.2526018,,,,human,true,
Fairview Cemetery,United States,Kansas,Gray County,Montezuma,Montezuma,,37.6430578,-100.4150212,,,,human,true,
Mertilla Cemetery,United States,Kansas,Meade County,Collano,Collano,,37.3949756,-100.5613245,,,,human,true,
Fellsburg Cemetery,United States,Kansas,Edwards County,Fellsburg,Fellsburg,,37.8068808,-99.1694145,,,,human,true,
Trotter Cemetery,United States,Kansas,Edwards County,Centerview,Centerview,,37.8393212,-99.278504,,,,human,true,
Sodville Cemetery,United States,Kansas,Ford County,Kingsdown,Kingsdown,,37.5263416,-99.7511205,,,,human,true,
Minneola Cemetery,United States,Kansas,Clark County,Minneola,Minneola,,37.4008496,-100.0054765,,,,human,true,
Arkalon Cemetery,United States,Kansas,Seward County,Arkalon,Arkalon,,37.1346302,-100.8138474,,,,human,true,
Liberal Memorial Cemetery,United States,Kansas,Seward County,Western Mobile Home Park North,Western Mobile Home Park North,,37.111672,-100.9208513,,,,human,true,
Wayne Cemetery,United States,Kansas,Edwards County,Lewis,Lewis,,37.9551377,-99.2145172,,,,human,true,
Old Kinsley Cemetery,United States,Kansas,Edwards County,Kinsley,Kinsley,,37.9274743,-99.4316621,,,,human,true,
Saint Joseph Cemetery,United States,Kansas,Edwards County,Offerle,Offerle,,37.8969818,-99.6047531,,,,human,true,
Old Saint Joseph Cemetery,United States,Kansas,Ford County,Bellefont,Bellefont,,37.9122098,-99.6436059,,,,human,true,
Nescatunga Cemetery,United States,Kansas,Comanche County,Coldwater,Coldwater,,37.2298895,-99.2398601,,,,human,true,
Pleasant Valley Cemetery,United States,Kansas,Ford County,Windhorst,Windhorst,,37.6880888,-99.6337802,,,,human,true,
Powell Township Cemetery,United States,Kansas,Comanche County,Wilmore,Wilmore,,37.3427679,-99.2098388,,,,human,true,
Colusa Cemetery,United States,Kansas,Gray County,Copeland,Copeland,,37.6634227,-100.6573925,,,,human,true,
Banner Cemetery,United States,Kansas,Seward County,Supreme Cattle Feed Mobile Home Park,Supreme Cattle Feed Mobile Home Park,,37.3593064,-100.8333564,,,,human,true,
Bixler Cemetery,United States,Kansas,Seward County,Hayne,Hayne,,37.0392995,-100.7052641,,,,human,true,
Bloom Cemetery,United States,Kansas,Ford County,Bloom,Bloom,,37.4928601,-99.8967249,,,,human,true,
Holy Cross Cemetery,United States,Kansas,Ford County,Windhorst,Windhorst,,37.7875614,-99.6372918,,,,human,true,
Saint Michaels Cemetery,United States,Kansas,Ford County,Howell,Howell,,37.9419405,-100.1022385,,,,human,true,
Ridenour Cemetery,United States,Kansas,Ford County,Howell,Howell,,37.8395401,-100.1721217,,,,human,true,
Pleasant Vale Cemetery,United States,Kansas,Ford County,Wright,Wright,,37.7931427,-99.9051261,,,,human,true,
Mckinley Cemetery,United States,Kansas,Kiowa County,Mullinville,Mullinville,,37.6320583,-99.4768495,,,,human,true,
Belvidere Cemetery,United States,Kansas,Kiowa County,Belvidere,Belvidere,,37.4549914,-99.0491959,,,,human,true,
Ivanhoe Cemetery,United States,Kansas,Haskell County,Sublette,Sublette,,37.6416475,-100.8711795,,,,human,true,
Springfield Cemetery,United States,Kansas,Seward County,Supreme Cattle Feed Mobile Home Park,Supreme Cattle Feed Mobile Home Park,,37.2788161,-100.8603746,,,,human,true,
Goldamer Cemetery,United States,Kansas,Finney County,Plymell,Plymell,,37.7730151,-100.9072284,,,,human,true,
Lollik Cemetery,United States,Kansas,Sumner County,Geuda Springs,Geuda Springs,,37.0636392,-97.1658741,,,,human,true,
United Cemetery,United States,Kansas,Cowley County,Tresham,Tresham,,37.2136372,-97.0750383,,,,human,true,
