name,country,state,county,city,street_address,zip_code,latitude,longitude,email,website,phone_number,type,is_operational,description
Allred Cemetery,United States,Kentucky,Carlisle County,Arlington,Arlington,,36.7806125,-89.0370092,,,,human,true,
Campbell Cemetery,United States,Kentucky,Carlisle County,Laketon,Laketon,,36.8633883,-89.0984008,,,,human,true,
Dicus Cemetery,United States,Kentucky,Carlisle County,Geveden,Geveden,,36.8242227,-89.057288,,,,human,true,
Harrison-Hughes Cemetery,United States,Kentucky,Carlisle County,Winford,Winford,,36.9692203,-89.0364553,,,,human,true,
Roberts Cemetery,United States,Kentucky,Hickman County,South Columbus,South Columbus,,36.732002,-89.0775657,,,,human,true,
Rogers Cemetery,United States,Kentucky,Carlisle County,Arlington,Arlington,,36.7922789,-89.0342315,,,,human,true,
Zook Cemetery,United States,Kentucky,Hickman County,Tar Heel,Tar Heel,,36.7606128,-89.0472871,,,,human,true,
Zook Cemetery,United States,Kentucky,Carlisle County,Arlington,Arlington,,36.8022789,-89.0106198,,,,human,true,
Lake Chapel Cemetery,United States,Kentucky,Fulton County,Ash Log,Ash Log,,36.5364534,-89.379023,,,,human,true,
Carter Family Cemetery,United States,Kentucky,Fulton County,Cayce,Cayce,,36.5326087,-89.0736307,,,,human,true,
Arlington Cemetery,United States,Kentucky,Carlisle County,Arlington,Arlington,,36.7866369,-89.0088836,,,,human,true,
Columbia Cemetery,United States,Kentucky,Hickman County,Columbus,Columbus,,36.763132,-89.1061443,,,,human,true,
New Chapel Cemetery,United States,Kentucky,Hickman County,Tar Heel,Tar Heel,,36.7061041,-89.0161697,,,,human,true,
Roselawn Cemetery,United States,Kentucky,Carlisle County,Bardwell,Bardwell,,36.8645385,-89.0007635,,,,human,true,
Barlow - International Order of Odd Fellows Cemetery,United States,Kentucky,Ballard County,Barlow,Barlow,,37.0572916,-89.0426212,,,,human,true,
Liberty Cemetery,United States,Kentucky,Fulton County,Jordan,Jordan,,36.5171419,-89.009353,,,,human,true,
Watwood Cemetery,United States,Kentucky,Ballard County,Slater,Slater,,37.0033899,-89.0166469,,,,human,true,
Northington Cemetery,United States,Kentucky,Ballard County,La Center,La Center,,37.0851691,-89.0031568,,,,human,true,
Old Hazelwood Cemetery,United States,Kentucky,Ballard County,Barlow,Barlow,,37.0710567,-89.0409567,,,,human,true,
Wickliffe Cemetery,United States,Kentucky,Ballard County,Wickliffe,Wickliffe,,36.9726792,-89.0748747,,,,human,true,
Pace Cemetery,United States,Kentucky,Ballard County,Slater,Slater,,37.0138518,-88.999903,,,,human,true,
Bethlehem Cemetery,United States,Kentucky,Carlisle County,Winford,Winford,,36.9524836,-89.0211598,,,,human,true,
Owsley Cemetery,United States,Kentucky,Ballard County,Barlow,Barlow,,37.0282406,-89.0539526,,,,human,true,
Beech Grove Church Cemetery,United States,Kentucky,Carlisle County,Laketon,Laketon,,36.8657551,-89.0727885,,,,human,true,
