name,country,state,county,city,street_address,zip_code,latitude,longitude,email,website,phone_number,type,is_operational,description
Eddy Cemetery,United States,Massachusetts,Bristol County,Hortonville,Hortonville,,41.7775474,-71.209349,,,,human,true,
Fall River Pet Cemetery,United States,Massachusetts,Bristol County,Fighting Rock Corner,Fighting Rock Corner,,41.7379291,-71.0704976,,,,pet,true,
Knockum Hill Cemetery,United States,Massachusetts,Bristol County,Monroes,Monroes,,41.7697976,-71.3032495,,,,human,true,
Pine Island Cemetery,United States,Massachusetts,Bristol County,Faunce Corner,Faunce Corner,,41.71112,-71.0017419,,,,human,true,
Gifford Wordeu Cemetery,United States,Massachusetts,Bristol County,Lakeside,Lakeside,,41.6861057,-71.0957389,,,,human,true,
Evergreen Cemetery,United States,Massachusetts,Bristol County,Hixville,Hixville,,41.6822728,-71.0194683,,,,human,true,
Mount Hope Cemetery and Arboretum,United States,Massachusetts,Bristol County,Attleboro Falls,Attleboro Falls,,41.9759709,-71.3124326,,,,human,true,
Reed Cemetery,United States,Massachusetts,Bristol County,Westport Factory,Westport Factory,,41.6466319,-71.0379833,,,,human,true,
Nathan Slade Cemetery,United States,Massachusetts,Bristol County,Mechanicsville,Mechanicsville,,41.7381257,-71.1560299,,,,human,true,
Maple Grove Cemetery,United States,Massachusetts,Bristol County,Sissons Corner,Sissons Corner,,41.6227718,-71.0565231,,,,human,true,
Oak Knoll Cemetery,United States,Massachusetts,Bristol County,Briggs Corner,Briggs Corner,,41.9051813,-71.2502473,,,,human,true,
Carpenter Cemetery,United States,Massachusetts,Bristol County,Adamsdale,Adamsdale,,41.9397669,-71.3795949,,,,human,true,
Cemetery,United States,Massachusetts,Bristol County,Hixville,Hixville,,41.6944662,-71.0391827,,,,human,true,
Mosher Cemetery,United States,Massachusetts,Bristol County,Gidleys Corner,Gidleys Corner,,41.5803858,-71.0394731,,,,human,true,
Cemetery,United States,Massachusetts,Bristol County,Westport,Westport,,41.6236538,-71.0372545,,,,human,true,
Macomber Cemetery,United States,Massachusetts,Bristol County,Gidleys Corner,Gidleys Corner,,41.589139,-71.0288575,,,,human,true,
Mosher Burying Ground,United States,Massachusetts,Bristol County,Sissons Corner,Sissons Corner,,41.6217926,-71.0563779,,,,human,true,
Cemetery Land,United States,Massachusetts,Bristol County,Assonet,Assonet,,41.7926612,-71.0749503,,,,human,true,
Allens Neck Friends Cemetery,United States,Massachusetts,Bristol County,Slocums Corner,Slocums Corner,,41.5315906,-71.0222068,,,,human,true,
Hicks Cemetery,United States,Massachusetts,Bristol County,Rehoboth,Rehoboth,,41.8116292,-71.2396007,,,,human,true,
Reed Cemetery,United States,Massachusetts,Bristol County,Berryman Corner,Berryman Corner,,41.667949,-71.0555708,,,,human,true,
Linden Grove Cemetery,United States,Massachusetts,Bristol County,Sissons Corner,Sissons Corner,,41.6236277,-71.0560472,,,,human,true,
Winslow Cemetery,United States,Massachusetts,Bristol County,Assonet,Assonet,,41.8014165,-71.0589676,,,,human,true,
Cemetery,United States,Massachusetts,Bristol County,Slades Corner,Slades Corner,,41.5590031,-71.0292879,,,,human,true,
Gibbs Cemetery,United States,Massachusetts,Bristol County,Pottersville,Pottersville,,41.7466213,-71.141711,,,,human,true,
Reynolds-Teachman Cemetery,United States,Massachusetts,Bristol County,Gidleys Corner,Gidleys Corner,,41.5943801,-71.0343437,,,,human,true,
Russells Mills Cemetery,United States,Massachusetts,Bristol County,Russells Mills,Russells Mills,,41.5725856,-71.0070896,,,,human,true,
Saint Marys Cemetery,United States,Massachusetts,Bristol County,Attleboro Falls,Attleboro Falls,,41.9735295,-71.3136493,,,,human,true,
Stevens Corner Cemetery,United States,Massachusetts,Bristol County,North Rehoboth,North Rehoboth,,41.901075,-71.2175396,,,,human,true,
