name,country,state,county,city,street_address,zip_code,latitude,longitude,email,website,phone_number,type,is_operational,description
Community Cemetery,United States,Maryland,Somerset County,Daugherty Town,Daugherty Town,,37.9834857,-75.8458248,,,,human,true,
Asbury Cemetery,United States,Maryland,Somerset County,Lawsonia,Lawsonia,,37.9743292,-75.8358379,,,,human,true,
Mariners Cemetery,United States,Maryland,Somerset County,Mariners,Mariners,,37.9898549,-75.8304456,,,,human,true,
Murphy Cemetery,United States,Maryland,Garrett County,Schell,Schell,,39.3389898,-79.2450387,,,,human,true,
Beckman Cemetery,United States,Maryland,Garrett County,Altamont,Altamont,,39.4350957,-79.2847616,,,,human,true,
Chisholm-Nydegger Cemetery,United States,Maryland,Garrett County,Gorman,Gorman,,39.318991,-79.3400437,,,,human,true,
Glendale Cemetery,United States,Maryland,Garrett County,Thayerville,Thayerville,,39.5087027,-79.2950387,,,,human,true,
Harvey-Wilson Cemetery,United States,Maryland,Garrett County,Kearney,Kearney,,39.332516,-79.3113763,,,,human,true,
Lish Cemetery,United States,Maryland,Garrett County,Kearney,Kearney,,39.3348234,-79.3558775,,,,human,true,
Mayle Cemetery,United States,Maryland,Garrett County,Fricks Crossing,Fricks Crossing,,39.3981532,-79.3314308,,,,human,true,
Moon Cemetery,United States,Maryland,Garrett County,Altamont,Altamont,,39.3959311,-79.2811508,,,,human,true,
Paughs Cemetery,United States,Maryland,Garrett County,Schell,Schell,,39.3870428,-79.2592055,,,,human,true,
Ridgley Cemetery,United States,Maryland,Garrett County,Bevansville,Bevansville,,39.6662301,-79.1861738,,,,human,true,
White Cemetery,United States,Maryland,Garrett County,Kearney,Kearney,,39.3557622,-79.3277876,,,,human,true,
Wonderly Cemetery,United States,Maryland,Garrett County,Loch Lynn Heights,Loch Lynn Heights,,39.3767655,-79.3689329,,,,human,true,
Dung Hill Cemetery,United States,Maryland,Garrett County,Foxtown,Foxtown,,39.6303633,-79.2314227,,,,human,true,
Hoyes Cemetery,United States,Maryland,Garrett County,Hoyes,Hoyes,,39.5906422,-79.3680948,,,,human,true,
Saint Ann's Cemetery,United States,Maryland,Garrett County,Piney Grove,Piney Grove,,39.6609191,-79.0655835,,,,human,true,
Mount Zion Cemetery,United States,Maryland,Garrett County,Standard,Standard,,39.4386158,-79.1705032,,,,human,true,
Swanton Cemetery,United States,Maryland,Garrett County,Swanton,Swanton,,39.4595389,-79.2311481,,,,human,true,
Oakland Cemetery,United States,Maryland,Garrett County,Oakland,Oakland,,39.4092849,-79.40245,,,,human,true,
Grantsville Cemetery,United States,Maryland,Garrett County,Grantsville,Grantsville,,39.6945154,-79.1637947,,,,human,true,
Barlett Cemetery,United States,Maryland,Allegany County,Moscow,Moscow,,39.5455745,-79.013791,,,,human,true,
Bloomington Cemetery,United States,Maryland,Garrett County,Bloomington,Bloomington,,39.4802435,-79.069749,,,,human,true,
Lake Ford Cemetery,United States,Maryland,Garrett County,Lake Ford,Lake Ford,,39.527867,-79.4789468,,,,human,true,
