name,country,state,county,city,street_address,zip_code,latitude,longitude,email,website,phone_number,type,is_operational,description
Bailey Cemetery,United States,Maine,Sagadahoc County,Montsweag,Montsweag,,43.958967,-69.7356009,,,,human,true,
Benton Cemetery,United States,Maine,Cumberland County,West Baldwin,West Baldwin,,43.8520187,-70.7895064,,,,human,true,
Blaisdell Cemetery,United States,Maine,Oxford County,East Denmark,East Denmark,,43.9913816,-70.7734892,,,,human,true,
Blake Cemetery,United States,Maine,Oxford County,Merrill Corner,Merrill Corner,,43.9064615,-70.9508998,,,,human,true,
Brown Cemetery,United States,Maine,Oxford County,West Brownfield,West Brownfield,,43.9161834,-70.9614556,,,,human,true,
Burnt Meadow Cemetery,United States,Maine,Oxford County,East Brownfield,East Brownfield,,43.945905,-70.8839539,,,,human,true,
Cole Cemetery,United States,Maine,Oxford County,New Boston,New Boston,,43.8956599,-70.9768112,,,,human,true,
Day Cemetery,United States,Maine,York County,East Parsonsfield,East Parsonsfield,,43.7522933,-70.825858,,,,human,true,
Day Cemetery,United States,Maine,Androscoggin County,South Durham,South Durham,,43.9248009,-70.0808848,,,,human,true,
Edgecomb Cemetery,United States,Maine,Oxford County,South Hiram,South Hiram,,43.7839648,-70.862841,,,,human,true,
Elmlawn Cemetery,United States,Maine,Sagadahoc County,Pejepscot,Pejepscot,,43.969523,-70.0219965,,,,human,true,
Fairfield Cemetery,United States,Maine,Androscoggin County,Crossman Corner,Crossman Corner,,43.9692446,-70.0711635,,,,human,true,
Farnham Cemetery,United States,Maine,Lincoln County,East Boothbay,East Boothbay,,43.8553551,-69.5766641,,,,human,true,
Flying Point Cemetery,United States,Maine,Cumberland County,Mast Landing,Mast Landing,,43.8417474,-70.0603273,,,,human,true,
Franklin Stevens Cemetery,United States,Maine,Cumberland County,Dolley Corner,Dolley Corner,,43.8347991,-70.4028309,,,,human,true,
Gerrish Cemetery,United States,Maine,Androscoggin County,South West Bend,South West Bend,,43.960633,-70.1219968,,,,human,true,
Gordon Cemetery,United States,Maine,York County,Emerys Corner,Emerys Corner,,43.7723645,-70.7535977,,,,human,true,
Greenlaw Cemetery,United States,Maine,Oxford County,West Brownfield,West Brownfield,,43.9264609,-70.9672893,,,,human,true,
Greenleaf Cemetery,United States,Maine,Lincoln County,Westport,Westport,,43.9211909,-69.7014345,,,,human,true,
Harmony Grove Cemetery,United States,Maine,Androscoggin County,West Durham,West Durham,,43.9570213,-70.1600525,,,,human,true,
Harris Cemetery,United States,Maine,Sagadahoc County,Sebasco,Sebasco,,43.7917497,-69.8647688,,,,human,true,
Hartford Cemetery,United States,Maine,Oxford County,East Brownfield,East Brownfield,,43.9150726,-70.8542307,,,,human,true,
Highland Grove Cemetery,United States,Maine,York County,North Shapleigh,North Shapleigh,,43.5959125,-70.8845067,,,,human,true,
Hill Cemetery,United States,Maine,York County,Eliot,Eliot,,43.144531,-70.8083891,,,,human,true,
Hillside Cemetery,United States,Maine,Knox County,Martinsville,Martinsville,,43.9526751,-69.2185456,,,,human,true,
Hilltop Cemetery,United States,Maine,Androscoggin County,Shiloh,Shiloh,,43.9775782,-70.0422746,,,,human,true,
Jones Cemetery,United States,Maine,Androscoggin County,Shiloh,Shiloh,,43.9636896,-70.0400521,,,,human,true,
Kezar Cemetery,United States,Maine,Oxford County,Porter,Porter,,43.7845202,-70.9089532,,,,human,true,
Kezar Cemetery,United States,Maine,Oxford County,Porter,Porter,,43.7864646,-70.9172868,,,,human,true,
Knight Cemetery,United States,Maine,Cumberland County,Glantz Corner,Glantz Corner,,43.8442434,-70.4036645,,,,human,true,
Knight Cemetery,United States,Maine,Sagadahoc County,Montsweag,Montsweag,,43.9484125,-69.6842125,,,,human,true,
Linscott Cemetery,United States,Maine,Oxford County,New Boston,New Boston,,43.8978505,-70.9881228,,,,human,true,
Littlefield Cemetery,United States,Maine,York County,Parsonage Corner,Parsonage Corner,,43.3070295,-70.6778327,,,,human,true,
Littlefield Cemetery,United States,Maine,Androscoggin County,Lisbon Falls,Lisbon Falls,,43.9889665,-70.0653305,,,,human,true,
Marine Cemetery,United States,Maine,Sagadahoc County,Ashdale,Ashdale,,43.7834167,-69.8303239,,,,human,true,
