name,country,state,county,city,street_address,zip_code,latitude,longitude,email,website,phone_number,type,is_operational,description
Lone Rock Cemetery,United States,Minnesota,Pipestone County,Airlie,Airlie,,43.9775118,-96.4822485,,,,human,true,
Messiah Cemetery,United States,Minnesota,Pipestone County,Jasper,Jasper,,43.8914671,-96.51838,,,,human,true,
Oslo Cemetery,United States,Minnesota,Pipestone County,Jasper,Jasper,,43.9049852,-96.5157268,,,,human,true,
Wilson Township Cemetery,United States,Minnesota,Nobles County,Bigelow,Bigelow,,43.4511145,-95.7039913,,,,human,true,
Zion Cemetery,United States,Minnesota,Nobles County,Ellsworth,Ellsworth,,43.4324658,-95.9973665,,,,human,true,
St. Ann's Cemetery,United States,Minnesota,Murray County,Slayton,Slayton,,43.9935588,-95.7441515,,,,human,true,
Saint Catherine's Cemetery,United States,Minnesota,Rock County,Luverne,Luverne,,43.6696387,-96.2139097,,,,human,true,
Blue Mound Cemetery,United States,Minnesota,Rock County,Hardwick,Hardwick,,43.7316416,-96.1720006,,,,human,true,
Dutch Reform Church Cemetery,United States,Minnesota,Rock County,Hills,Hills,,43.5297989,-96.357297,,,,human,true,
Bethlehem Cemetery,United States,Minnesota,Rock County,Hills,Hills,,43.5297975,-96.3579136,,,,human,true,
Nerison Cemetery,United States,Minnesota,Rock County,Bruce,Bruce,,43.500489,-96.4020412,,,,human,true,
Maplewood Cemetery,United States,Minnesota,Rock County,Luverne,Luverne,,43.6545463,-96.2324514,,,,human,true,
St. Mary’s Catholic Cemetery,United States,Minnesota,Nobles County,Sungold Heights Mobile Home Park,Sungold Heights Mobile Home Park,,43.6242685,-95.5752063,,,,human,true,
Norwegian Cemetery,United States,Minnesota,Rock County,Luverne,Luverne,,43.670047,-96.2154692,,,,human,true,
Worthington Cemetery,United States,Minnesota,Nobles County,Sungold Heights Mobile Home Park,Sungold Heights Mobile Home Park,,43.6147179,-95.5755743,,,,human,true,
Jasper Cemetery,United States,Minnesota,Pipestone County,Jasper,Jasper,,43.8550407,-96.4061466,,,,human,true,
Saint Adrian Cemetery,United States,Minnesota,Nobles County,Adrian,Adrian,,43.6294558,-95.9147598,,,,human,true,
Adrian Cemetery,United States,Minnesota,Nobles County,Adrian,Adrian,,43.632015,-95.9182046,,,,human,true,
Flowerfield Cemetery,United States,Minnesota,Rock County,Hills,Hills,,43.5285805,-96.3130735,,,,human,true,
St. Joseph Cemetery,United States,MN,Pipestone County,Jasper,142 MN Highway 269,56144,43.8502448,-96.4384743,,,,human,true,
Westside Cemetery,United States,Minnesota,Rock County,Magnolia,Magnolia,,43.643904,-96.0517283,,,,human,true,
Memory Garden,United States,MN,Nobles County,Worthington,29600 County Road 35,56187,43.6321189,-95.6627583,,,,human,true,
Slayton Memorial Gardens,United States,Minnesota,Murray County,Slayton,Slayton,,43.977667,-95.7325379,,,,human,true,
Restlawn Memorial Gardens,United States,Minnesota,Rock County,Luverne,Luverne,,43.6738976,-96.2338179,,,,human,true,
Trosky Cemetery,United States,Minnesota,Pipestone County,Trosky,Trosky,,43.891631,-96.2416928,,,,human,true,
Union State Line Cemetery,United States,Minnesota,Jackson County,Petersburg,Petersburg,,43.4930215,-94.9157111,,,,human,true,
St. Mary's Cemetary,United States,Minnesota,Freeborn County,Maple Island,Maple Island,,43.7947137,-93.1537134,,,,human,true,
Red Oak Grove Cemetary,United States,Minnesota,Mower County,Corning,Corning,,43.7927595,-93.048934,,,,human,true,
Graceland Cemetery,United States,Minnesota,Freeborn County,Albert Lea,Albert Lea,,43.648653,-93.3933087,,,,human,true,
Rose Hill Cemetery,United States,Minnesota,Faribault County,Prime Village of Wells Mobile Home Park,Prime Village of Wells Mobile Home Park,,43.7472707,-93.7393685,,,,human,true,
Riverside Cemetery,United States,Minnesota,Faribault County,Hillcrest Park Mobile Home Park,Hillcrest Park Mobile Home Park,,43.631884,-94.0882944,,,,human,true,
Mount Hope Cemetery,United States,Minnesota,Watonwan County,Saint James,Saint James,,43.9637893,-94.6219075,,,,human,true,
Saint John's Lutheran Cemetery,United States,Minnesota,Martin County,Truman,Truman,,43.8631519,-94.4284679,,,,human,true,
Dunbar Memorial Cemetery,United States,Minnesota,Faribault County,Minnesota Lake,Minnesota Lake,,43.8302437,-93.7684352,,,,human,true,
St. Paul's Cemetery,United States,Minnesota,Faribault County,Minnesota Lake,Minnesota Lake,,43.8185302,-93.7770832,,,,human,true,
St. Casimir Cemetery,United States,Minnesota,Faribault County,Wells,Wells,,43.7453534,-93.7382353,,,,human,true,
Peace Cemetery,United States,Minnesota,Faribault County,Minnesota Lake,Minnesota Lake,,43.8490127,-93.8282552,,,,human,true,
Medo Lutheran Cemetery,United States,Minnesota,Blue Earth County,Pemberton,Pemberton,,43.9628566,-93.787333,,,,human,true,
First Lutheran Church Cemetery,United States,Minnesota,Waseca County,Waldorf,Waldorf,,43.9283245,-93.6983652,,,,human,true,
First Lutheran Cemetery,United States,Minnesota,Steele County,Bass Mobile Home Park,Bass Mobile Home Park,,43.8564183,-93.0146488,,,,human,true,
Walnut Lake Cemetery,United States,Minnesota,Faribault County,Brush Creek,Brush Creek,,43.7223801,-93.8270713,,,,human,true,
St. Paul's Evangelical Church Cemetery,United States,Minnesota,Waseca County,Waldorf,Waldorf,,43.8691676,-93.7271295,,,,human,true,
American Lutheran Church Cemetery,United States,Minnesota,Faribault County,Kiester,Kiester,,43.5354852,-93.7035453,,,,human,true,
Stateline Cemetery,United States,Minnesota,Freeborn County,Gordonsville,Gordonsville,,43.4874947,-93.2417152,,,,human,true,
Conger Community Cemetery,United States,Minnesota,Freeborn County,Conger,Conger,,43.6156379,-93.5186384,,,,human,true,
Our Lady of Mt. Carmel Cemetery,United States,Minnesota,Faribault County,Easton,Easton,,43.7190977,-93.923806,,,,human,true,
Dell Lutheran Cemetery,United States,Minnesota,Faribault County,Dell,Dell,,43.6252216,-93.914752,,,,human,true,
Emerald Cemetery,United States,Minnesota,Faribault County,Frost,Frost,,43.5900225,-93.9329293,,,,human,true,
Bethany Lutheran Cemetery,United States,Minnesota,Faribault County,Frost,Frost,,43.5428983,-93.9044315,,,,human,true,
St. Peter's Evangelical Lutheran Cemetery,United States,Minnesota,Faribault County,Easton,Easton,,43.7708876,-93.9071382,,,,human,true,
Lura Cemetery,United States,Minnesota,Faribault County,Easton,Easton,,43.7904156,-93.9482384,,,,human,true,
Chase Cemetery,United States,Minnesota,Blue Earth County,Mapleton,Mapleton,,43.8994215,-93.9889173,,,,human,true,
West Lutheran Cemetery,United States,Minnesota,Blue Earth County,Sterling Center,Sterling Center,,43.8408135,-94.043998,,,,human,true,
Freedom Lutheran Cemetery,United States,Minnesota,Waseca County,Alma City,Alma City,,43.9971806,-93.697123,,,,human,true,
Rice Lake Cemetery,United States,Minnesota,Faribault County,Walters,Walters,,43.6287133,-93.7276811,,,,human,true,
Jackson Lake Cemetery,United States,Minnesota,Blue Earth County,Amboy,Amboy,,43.8703742,-94.1173257,,,,human,true,
North Blue Earth Lutheran Cemetery,United States,Minnesota,Faribault County,Brush Creek,Brush Creek,,43.6300427,-93.8494992,,,,human,true,
Freeborn Cemetery,United States,Minnesota,Freeborn County,Freeborn,Freeborn,,43.7712121,-93.5647283,,,,human,true,
East Lutheran Cemetery,United States,MN,Faribault County,Delavan,42278 235th Street,56023,43.825366,-94.0165232,,,,human,true,
Immanuel Cemetery,United States,Minnesota,Faribault County,Marna,Marna,,43.6654983,-94.0074348,,,,human,true,
Immanuel United Methodist Cemetery,United States,Minnesota,Faribault County,Marna,Marna,,43.6377357,-94.0139477,,,,human,true,
Fairview Cemetery,United States,MN,Faribault County,Kiester,5015 State Highway 22,56051,43.5583582,-93.7086081,,,,human,true,
Bricelyn Cemetery,United States,Minnesota,Faribault County,Bricelyn,Bricelyn,,43.5570917,-93.8292681,,,,human,true,
Bohemian National Cemetery,United States,Minnesota,Freeborn County,Myrtle,Myrtle,,43.6152118,-93.1704088,,,,human,true,
Czech National Cemetary,United States,Minnesota,Steele County,Summit,Summit,,43.8852771,-93.1663942,,,,human,true,
Saint Paul's Lutheran Cemetery,United States,Minnesota,Freeborn County,Lerdal,Lerdal,,43.738997,-93.2485136,,,,human,true,
Fawcett Farm Cemetery,United States,Minnesota,Houston County,Newhouse,Newhouse,,43.4833023,-91.7168155,,,,human,true,
West Waterloo Ridge Cemetery,United States,Minnesota,Houston County,Bee,Bee,,43.4916371,-91.6001443,,,,human,true,
Portland Prairie Cemetery,United States,Minnesota,Houston County,Eitzen,Eitzen,,43.4944163,-91.4584725,,,,human,true,
Le Roy Lutheran Cemetery,United States,Minnesota,Mower County,Le Roy Parkside Mobile Home Park,Le Roy Parkside Mobile Home Park,,43.5215611,-92.5196052,,,,human,true,
Saint Patricks Cemetery,United States,Minnesota,Mower County,Le Roy Parkside Mobile Home Park,Le Roy Parkside Mobile Home Park,,43.5215527,-92.5214546,,,,human,true,
Le Roy Cemetery,United States,Minnesota,Mower County,Le Roy Parkside Mobile Home Park,Le Roy Parkside Mobile Home Park,,43.5215443,-92.5236461,,,,human,true,
Oakwood Cemetery,United States,Minnesota,Mower County,Mapleview,Mapleview,,43.6834625,-92.9776221,,,,human,true,
Evergreen Cemetery,United States,Minnesota,Olmsted County,Pleasant Grove,Pleasant Grove,,43.8695609,-92.3793537,,,,human,true,
Saint Bernard Cemetery,United States,Minnesota,Olmsted County,Stewartville,Stewartville,,43.8622913,-92.4942841,,,,human,true,
