name,country,state,county,city,street_address,zip_code,latitude,longitude,email,website,phone_number,type,is_operational,description
Box Elder Cemetery,United States,Missouri,Dunklin County,Evorge,Evorge,,35.9926431,-90.1430677,,,,human,true,
Bass Cemetery,United States,Missouri,Stone County,Oto,Oto,,36.8500587,-93.454357,,,,human,true,
Bee Creek Cemetery,United States,Missouri,Taney County,Mincy,Mincy,,36.5231207,-93.0854553,,,,human,true,
Bishop Cemetery,United States,Missouri,Dade County,New Kirk,New Kirk,,37.2958837,-93.8304877,,,,human,true,
Booth Cemetery,United States,Missouri,Taney County,Mincy,Mincy,,36.5250649,-93.0982334,,,,human,true,
Braden Cemetery,United States,Missouri,Christian County,Velsor,Velsor,,37.0222751,-93.0160102,,,,human,true,
Bumgarner Cemetery,United States,Missouri,Webster County,Red Top,Red Top,,37.3375463,-93.0001789,,,,human,true,
Butler Cemetery,United States,Missouri,Lawrence County,Marionville,Marionville,,37.0003345,-93.6538108,,,,human,true,
Butler Cemetery,United States,Missouri,Christian County,Boaz,Boaz,,37.0219989,-93.4051907,,,,human,true,
Caldwell Cemetery,United States,Missouri,Webster County,Holman,Holman,,37.2619917,-93.071847,,,,human,true,
Carlin Cemetery,United States,Missouri,Lawrence County,Monett,Monett,,36.8858963,-93.9582628,,,,human,true,
Casebolt Cemetery,United States,Missouri,Christian County,Velsor,Velsor,,37.0392192,-93.0429557,,,,human,true,
Cedar Bluff Cemetery,United States,Missouri,Jasper County,Preston,Preston,,37.2919989,-94.3993937,,,,human,true,
Cedar Bluff Cemetery,United States,Missouri,Cedar County,Wagoner,Wagoner,,37.6664298,-93.9252156,,,,human,true,
Charity Cemetery,United States,Missouri,Stone County,Bradfield,Bradfield,,36.9658903,-93.5818632,,,,human,true,
Clark Cemetery,United States,Missouri,Hickory County,Hermitage,Hermitage,,37.9522547,-93.2938089,,,,human,true,
Cook Cemetery,United States,Missouri,Hickory County,Elkton,Elkton,,37.8683678,-93.4443675,,,,human,true,
Crisp Cemetery,United States,Missouri,Dade County,Crisp,Crisp,,37.5678195,-93.7749323,,,,human,true,
Davis Cemetery,United States,Missouri,Webster County,Elkland,Elkland,,37.4580993,-93.0515715,,,,human,true,
Dooley Bend Cemetery,United States,Missouri,Hickory County,Galmey,Galmey,,37.8919783,-93.3446427,,,,human,true,
Fanning Cemetery,United States,Missouri,Dade County,Glen Town,Glen Town,,37.4978212,-93.7929887,,,,human,true,
Gambill Cemetery,United States,Missouri,Dade County,Turnback (historical),Turnback (historical),,37.3072718,-93.7902088,,,,human,true,
Gem Cemetery,United States,Missouri,Jasper County,Parshley,Parshley,,37.0764499,-94.2410525,,,,human,true,
Gibson Cemetery,United States,Missouri,Christian County,Boaz,Boaz,,37.0461648,-93.3838011,,,,human,true,
Gordon Cemetery,United States,Missouri,Cedar County,Umber,Umber,,37.6253181,-93.7557649,,,,human,true,
Green Valley Cemetery,United States,Missouri,Christian County,Boaz,Boaz,,37.0453317,-93.408802,,,,human,true,
Grey Cemetery,United States,Missouri,Jasper County,Maxville,Maxville,,37.1842246,-94.2446657,,,,human,true,
Hackney Cemetery,United States,Missouri,Jasper County,Maxville,Maxville,,37.2600555,-94.2307777,,,,human,true,
