name,country,state,county,city,street_address,zip_code,latitude,longitude,email,website,phone_number,type,is_operational,description
Adams Cemetery,United States,Mississippi,Adams County,Johnsville,Johnsville,,31.5162781,-91.346502,,,,human,true,
Anderson Cemetery,United States,Mississippi,Amite County,Tatum,Tatum,,31.1201753,-91.0245481,,,,human,true,
Arcole Cemetery,United States,Mississippi,Wilkinson County,Pinckneyville,Pinckneyville,,31.0376758,-91.4878942,,,,human,true,
Barland Cemetery,United States,Mississippi,Adams County,Pine Ridge,Pine Ridge,,31.6051659,-91.3676143,,,,human,true,
Bolls Cemetery,United States,Mississippi,Jefferson County,Deane (historical),Deane (historical),,31.7018313,-91.0226039,,,,human,true,
Brandon Cemetery,United States,Mississippi,Adams County,Selma,Selma,,31.6065548,-91.2651107,,,,human,true,
Briscoe Cemetery,United States,Mississippi,Claiborne County,Westside,Westside,,31.9154371,-91.0828853,,,,human,true,
Calvin Smith Cemetery,United States,Mississippi,Adams County,Kingston,Kingston,,31.4560012,-91.3234454,,,,human,true,
Clark Cemetery,United States,Mississippi,Jefferson County,Cannonsburg,Cannonsburg,,31.6726652,-91.1748305,,,,human,true,
Clemont Cemetery,United States,Mississippi,Adams County,Natchez Under the Hill (historical),Natchez Under the Hill (historical),,31.5915549,-91.3970597,,,,human,true,
Cory Cemetery,United States,Mississippi,Wilkinson County,Mount Pleasant,Mount Pleasant,,31.1062861,-91.158718,,,,human,true,
Courtney Cemetery,United States,Mississippi,Wilkinson County,Lessley,Lessley,,31.1646177,-91.4123366,,,,human,true,
Currier Cemetery,United States,Mississippi,Wilkinson County,Woodville,Woodville,,31.1040635,-91.2848325,,,,human,true,
Daniell Cemetery,United States,Mississippi,Claiborne County,Bruinsburg,Bruinsburg,,31.9448807,-91.1231645,,,,human,true,
Darden Cemetery,United States,Mississippi,Jefferson County,Fayette,Fayette,,31.6834983,-91.0831612,,,,human,true,
Dawson Cemetery,United States,Mississippi,Wilkinson County,Donegal,Donegal,,31.0460092,-91.3523345,,,,human,true,
Deer Park Cemetery,United States,Mississippi,Wilkinson County,Artonish,Artonish,,31.1679521,-91.541229,,,,human,true,
Dunbarton Cemetery,United States,Mississippi,Adams County,Jeannette,Jeannette,,31.5098893,-91.2692769,,,,human,true,
Folkes Cemetery,United States,Mississippi,Jefferson County,Cadillac,Cadillac,,31.672943,-91.1112175,,,,human,true,
Forest Cemetery,United States,Mississippi,Adams County,Cloverdale,Cloverdale,,31.4640567,-91.3801142,,,,human,true,
Foster Cemetery,United States,Mississippi,Adams County,Morgantown,Morgantown,,31.586555,-91.3412244,,,,human,true,
Foster Cemetery,United States,Mississippi,Adams County,Pine Ridge,Pine Ridge,,31.6240545,-91.3456692,,,,human,true,
Foster Mound Cemetery,United States,Mississippi,Adams County,Foster,Foster,,31.5987771,-91.332613,,,,human,true,
Gaulden Cemetery,United States,Mississippi,Wilkinson County,Whitaker,Whitaker,,31.018233,-91.0712159,,,,human,true,
Gibson Cemetery,United States,Mississippi,Jefferson County,Phoenix (historical),Phoenix (historical),,31.7421084,-91.1156626,,,,human,true,
Good Hope Cemetery,United States,Mississippi,Wilkinson County,Loch Leven,Loch Leven,,31.2046183,-91.5506738,,,,human,true,
Griffin Cemetery,United States,Mississippi,Claiborne County,Alcorn,Alcorn,,31.8418281,-91.1431642,,,,human,true,
Hamblin Cemetery,United States,Mississippi,Jefferson County,Uniontown (historical),Uniontown (historical),,31.7346085,-91.1203849,,,,human,true,
Harrison Cemetery,United States,Mississippi,Jefferson County,Cannonsburg,Cannonsburg,,31.6734984,-91.1737194,,,,human,true,
Hays Cemetery,United States,Mississippi,Wilkinson County,Laneheart,Laneheart,,31.1760062,-91.3540015,,,,human,true,
