name,country,state,county,city,street_address,zip_code,latitude,longitude,email,website,phone_number,type,is_operational,description
Haley Cemetery,United States,North Dakota,Bowman County,Haley,Haley,,45.9665378,-103.1294793,,,,human,true,
Haley Catholic Cemetery,United States,North Dakota,Bowman County,Haley,Haley,,45.9736857,-103.1197928,,,,human,true,
Haynes Cemetery,United States,North Dakota,Adams County,Haynes,Haynes,,45.9727225,-102.4968847,,,,human,true,
Petrel Cemetery,United States,North Dakota,Adams County,Petrel,Petrel,,45.9452586,-102.3099251,,,,human,true,
Baptist Cemetery,United States,North Dakota,McIntosh County,Venturia,Venturia,,45.9996456,-99.5773242,,,,human,true,
Bertsch Cemetery,United States,North Dakota,McIntosh County,Venturia,Venturia,,45.9393869,-99.5737697,,,,human,true,
Freidens Cemetery,United States,North Dakota,Emmons County,Hague,Hague,,45.9575349,-99.9628495,,,,human,true,
Freidens Cemetery,United States,North Dakota,McIntosh County,Zeeland,Zeeland,,45.9263689,-99.9138651,,,,human,true,
Friedens Cemetery,United States,North Dakota,McIntosh County,Venturia,Venturia,,45.8760874,-99.5327768,,,,human,true,
Friedens Cemetery,United States,North Dakota,McIntosh County,Venturia,Venturia,,45.8828215,-99.5742056,,,,human,true,
Glueckstahl Cemetery,United States,North Dakota,McIntosh County,Lowell,Lowell,,45.8464209,-99.4286897,,,,human,true,
Joachim Cemetery,United States,North Dakota,McIntosh County,Venturia,Venturia,,45.8835852,-99.5314751,,,,human,true,
Johannestal Cemetery,United States,North Dakota,McIntosh County,Lowell,Lowell,,45.9270388,-99.4642056,,,,human,true,
Lutheran Cemetery,United States,North Dakota,McIntosh County,Lowell,Lowell,,45.9554288,-99.4000508,,,,human,true,
Lutheran Cemetery,United States,North Dakota,McIntosh County,Venturia,Venturia,,45.9916962,-99.5465538,,,,human,true,
Reformed Cemetery,United States,North Dakota,McIntosh County,Zeeland,Zeeland,,45.956185,-99.8587213,,,,human,true,
Saint Andrew Cemetery,United States,North Dakota,McIntosh County,Zeeland,Zeeland,,45.955873,-99.8168653,,,,human,true,
Saint James Cemetery,United States,North Dakota,McIntosh County,Ashley,Ashley,,45.9878473,-99.2527004,,,,human,true,
