name,country,state,county,city,street_address,zip_code,latitude,longitude,email,website,phone_number,type,is_operational,description
Southern Nevada Veterans Memorial Cemetery,United States,NV,Clark County,Boulder City,1900 Buchanan Blvd,89005,35.9445442,-114.8483634,,,+1 704-486-5920,human,true,
Boulder City Municipal Cemetery,United States,NV,Clark County,Boulder City,501 Adams Blvd,89005,35.9695895,-114.8222997,,,+1 702-293-9200,human,true,
Searchlight Cemetery,United States,Nevada,Clark County,Searchlight,Searchlight,,35.4609306,-114.9079768,,,,human,true,
Scotty's Grave,United States,Nevada,Esmeralda County,Old Camp,Old Camp,,37.0335715,-117.3424014,,,,human,true,
Goldfield Cemetery,United States,Nevada,Esmeralda County,Goldfield,Goldfield,,37.7174016,-117.2497629,,,,human,true,
Goldfield Pioneer Cemetery,United States,Nevada,Esmeralda County,Goldfield,Goldfield,,37.7161875,-117.2518471,,,,human,true,
Bonnie Claire Burial Ground,United States,Nevada,Nye County,Bonnie Claire,Bonnie Claire,,37.2271157,-117.119229,,,,human,true,
Palm Mortuary & Cemetery,United States,Nevada,Clark County,Paradise,Paradise,,36.0514468,-115.1136548,,,,human,true,
Davis Memorial Park,United States,Nevada,Clark County,Paradise,Paradise,,36.0771008,-115.11667,,,,human,true,
Las Vegas Pet Cemetery,United States,NV,Clark County,Eastland Heights,7450 Craig Road,89129,36.241077,-115.2525366,,https://craigrdpetcemetery.com/,,pet,true,
Woodlawn Cemetery,United States,Nevada,Clark County,Hoover City (historical),Hoover City (historical),,36.1873618,-115.1295649,,,,human,true,
Desert Hill Cemetery,United States,Nevada,Nye County,Beatty,Beatty,,36.8996306,-116.7606203,,,,human,true,
Bullfrog-Rhyolite Cemetery,United States,Nevada,Nye County,Bullfrog (historical),Bullfrog (historical),,36.881797,-116.8291113,,,,human,true,
Memory Gardens,United States,Nevada,Clark County,Eastland Heights,Eastland Heights,,36.2460059,-115.2523324,,,,human,true,
Chief Tecopa Cemetery,United States,NV,Nye County,Pahrump,3rd Street,1060,36.2085733,-115.9900536,,,,human,true,
Amargosa Desert Memorial Cemetery,United States,Nevada,Nye County,Amargosa Valley,Amargosa Valley,,36.5700098,-116.4563321,,,,human,true,
Cemeteries,United States,Nevada,Lincoln County,Alamo,Alamo,,37.3816051,-115.1580465,,,,human,true,
Palm Northwest Mortuary & Cemetery,United States,Nevada,Clark County,Eastland Heights,Eastland Heights,,36.281323,-115.2267409,,,,human,true,
Grandview Cemetery,United States,NV,Nye County,Pahrump,5441 Vicki Ann Lane,89048,36.1400235,-115.9737995,,,+1 775 727 4099,human,true,
Palm South Jones,United States,NV,Clark County,Las Vegas,1600 South Jones Boulevard,,36.1527456,-115.2250076,,,,human,true,
Fay Cemetery,United States,Nevada,Lincoln County,Fay (historical),Fay (historical),,37.9032104,-114.070348,,,,human,true,
Hackett Cemetery,United States,Nevada,Lincoln County,Deer Lodge (historical),Deer Lodge (historical),,37.9330185,-114.0730327,,,,human,true,
Westpoint Cemetery,United States,Nevada,Clark County,West Point (historical),West Point (historical),,36.6644159,-114.6405465,,,,human,true,
Pioche Catholic Cemetery,United States,Nevada,Lincoln County,Pioche,Pioche,,37.9383298,-114.4494231,,,,human,true,
