name,country,state,county,city,street_address,zip_code,latitude,longitude,email,website,phone_number,type,is_operational,description
Mule Creek Cemetery,United States,Oregon,Curry County,Marial,Marial,,42.7081668,-123.8936962,,,,human,true,
Van Pelt Cemetery,United States,Oregon,Curry County,Harbor,Harbor,,42.0478885,-124.2500903,,,,human,true,
Empire Cemetery,United States,OR,Coos County,Empire,Empire,,43.4011292,-124.2683415,,,,human,true,
Foster Creek Cemetery,United States,Oregon,Curry County,Illahe,Illahe,,42.636776,-124.0703685,,,,human,true,
Archer Cemetery,United States,OR,Coos County,Bay Park,Bay Park,,43.3459489,-124.1890091,,,,human,true,
Bullards Cemetery,United States,OR,Coos County,Bullards,Bullards,,43.1548313,-124.3970596,,,,human,true,
Day Cemetery,United States,OR,Douglas County,Camas Valley,Camas Valley,,43.0112325,-123.7336295,,,,human,true,
Fishtrap Cemetery,United States,OR,Coos County,Arago,Arago,,43.1231653,-124.2020515,,,,human,true,
Gravelford Cemetery,United States,OR,Coos County,Gravelford,Gravelford,,43.110666,-124.0717678,,,,human,true,
Hultin Cemetery,United States,OR,Coos County,Randolph,Randolph,,43.1689983,-124.3506694,,,,human,true,
Kronenberg Cemetery,United States,OR,Coos County,Parkersburg,Parkersburg,,43.1412204,-124.3442796,,,,human,true,
Log Town Cemetery,United States,Oregon,Jackson County,Ruch,Ruch,,42.2587356,-123.0261543,,,,human,true,
McCulloch Cemetery,United States,OR,Douglas County,Olalla,Olalla,,43.0784486,-123.5689663,,,,human,true,
Russell Cemetery,United States,OR,Coos County,Randolph,Randolph,,43.1762206,-124.3387247,,,,human,true,
Upper Fishtrap Cemetery,United States,OR,Coos County,Arago,Arago,,43.1053873,-124.2356636,,,,human,true,
Wells Cemetery,United States,OR,Douglas County,Elkton,Elkton,,43.6090061,-123.5825959,,,,human,true,
Foots Cemetery,United States,Oregon,Jackson County,Foots Creek,Foots Creek,,42.3915105,-123.1372732,,,,human,true,
Hays-Gall Cemetery,United States,Oregon,Jackson County,Dardanelles,Dardanelles,,42.4293865,-123.0776721,,,,human,true,
