name,country,state,county,city,street_address,zip_code,latitude,longitude,email,website,phone_number,type,is_operational,description
Ache Cemetery,United States,Pennsylvania,Fayette County,Rocks Works,Rocks Works,,39.8220213,-79.8981097,,,,human,true,
Alexander Cemetery,United States,Pennsylvania,Greene County,Fieldsons Crossroads,Fieldsons Crossroads,,39.7828556,-79.9558915,,,,human,true,
Braddock Cemetery,United States,Pennsylvania,Greene County,Graysville,Graysville,,39.9386869,-80.4050687,,,,human,true,
Chapel Cemetery,United States,Pennsylvania,Washington County,West Finley,West Finley,,39.997108,-80.4661121,,,,human,true,
Claughton Cemetery,United States,Pennsylvania,Greene County,Gump,Gump,,39.7897996,-80.1631219,,,,human,true,
County Home Cemetery,United States,Pennsylvania,Fayette County,Phillips,Phillips,,39.921465,-79.7469879,,,,human,true,
Cowell Cemetery,United States,Pennsylvania,Greene County,Kirby,Kirby,,39.7914665,-80.0864521,,,,human,true,
Crossroads Cemetery,United States,Pennsylvania,Somerset County,Ursina,Ursina,,39.8078551,-79.3294786,,,,human,true,
Donham Cemetery,United States,Pennsylvania,Greene County,Fieldsons Crossroads,Fieldsons Crossroads,,39.7856333,-79.9533913,,,,human,true,
Dunkard Cemetery,United States,Pennsylvania,Greene County,Aleppo,Aleppo,,39.8309128,-80.4578512,,,,human,true,
Dye Cemetery,United States,Pennsylvania,Greene County,Shamrock,Shamrock,,39.7298013,-80.2886843,,,,human,true,
Eakin Cemetery,United States,Pennsylvania,Greene County,Jollytown,Jollytown,,39.7328573,-80.312018,,,,human,true,
Enon Cemetery,United States,Pennsylvania,Washington County,Enon,Enon,,39.9743823,-80.4182915,,,,human,true,
Evans Cemetery,United States,Pennsylvania,Greene County,Aleppo,Aleppo,,39.8150796,-80.4334067,,,,human,true,
Everly Cemetery,United States,Pennsylvania,Greene County,Bobtown,Bobtown,,39.7564674,-79.9936718,,,,human,true,
Fairview Cemetery,United States,Pennsylvania,Greene County,Newtown,Newtown,,39.7475785,-79.9670043,,,,human,true,
Fairview Cemetery,United States,Pennsylvania,Greene County,Gump,Gump,,39.7886885,-80.165622,,,,human,true,
Fordyce Cemetery,United States,Pennsylvania,Greene County,Pine Bank,Pine Bank,,39.7584125,-80.3278506,,,,human,true,
Fordyce Cemetery,United States,Pennsylvania,Greene County,Bluff,Bluff,,39.814522,-80.313126,,,,human,true,
Franklin Cemetery,United States,Pennsylvania,Fayette County,Mahoning,Mahoning,,39.9661863,-79.6264285,,,,human,true,
Garrison Cemetery,United States,Pennsylvania,Greene County,Hero,Hero,,39.7414692,-80.3664633,,,,human,true,
Garrison Cemetery,United States,Pennsylvania,Greene County,Wiley,Wiley,,39.7795223,-79.9681143,,,,human,true,
Gordon Cemetery,United States,Pennsylvania,Greene County,Blairtown,Blairtown,,39.847854,-80.1753427,,,,human,true,
Grace Cemetery,United States,Pennsylvania,Fayette County,Dearth,Dearth,,39.9495202,-79.7953223,,,,human,true,
Green Dale Cemetery,United States,Pennsylvania,Fayette County,Griffin,Griffin,,39.8434099,-79.8814416,,,,human,true,
