name,country,state,county,city,street_address,zip_code,latitude,longitude,email,website,phone_number,type,is_operational,description
Albert Sweet Lot,United States,Rhode Island,Washington County,Gardners Corner,Gardners Corner,,41.5459467,-71.5531304,,,,human,true,
Allen Lot,United States,Rhode Island,Washington County,Fisherville,Fisherville,,41.5937209,-71.562444,,,,human,true,
Ancient Allen Lot,United States,Rhode Island,Washington County,Hamilton,Hamilton,,41.5276672,-71.444737,,,,human,true,
Arnold-Shearman Lot,United States,Rhode Island,Washington County,Kingston,Kingston,,41.5031568,-71.5139487,,,,human,true,
Avis Barber Lot,United States,Rhode Island,Washington County,Moscow,Moscow,,41.5314884,-71.720623,,,,human,true,
Barber Lot,United States,Rhode Island,Washington County,Lewis City,Lewis City,,41.5763847,-71.7136412,,,,human,true,
Barber Lot,United States,Rhode Island,Washington County,Arcadia,Arcadia,,41.5545439,-71.7231232,,,,human,true,
Barber Lot,United States,Rhode Island,Washington County,Wyoming,Wyoming,,41.5252992,-71.7069484,,,,human,true,
Bates Lot,United States,Rhode Island,Washington County,Tripps Corner,Tripps Corner,,41.5331561,-71.5903405,,,,human,true,
Bitgood Lot,United States,Rhode Island,Washington County,Barberville,Barberville,,41.5405593,-71.7073218,,,,human,true,
Bliven Burial Ground,United States,Rhode Island,Washington County,Arcadia,Arcadia,,41.5600995,-71.7281234,,,,human,true,
Boone Cemetery,United States,Rhode Island,Washington County,Wickford,Wickford,,41.5647111,-71.4621764,,,,human,true,
Boone Family Lot,United States,Rhode Island,Washington County,Millville,Millville,,41.589822,-71.6756216,,,,human,true,
Brainard Lot,United States,Rhode Island,Kent County,Escoheag,Escoheag,,41.57741,-71.7610071,,,,human,true,
Braman Lot,United States,Rhode Island,Washington County,Liberty,Liberty,,41.5181564,-71.5653395,,,,human,true,
Joseph Braman Lot,United States,Rhode Island,Washington County,Hope Valley,Hope Valley,,41.495153,-71.719726,,,,human,true,
Burlingame Cemetery,United States,Rhode Island,Washington County,Saunderstown,Saunderstown,,41.5207742,-71.4450132,,,,human,true,
Burton Lot,United States,Rhode Island,Washington County,Hopkinton,Hopkinton,,41.4694332,-71.7825724,,,,human,true,
Caleb Allen Cemetery,United States,Rhode Island,Washington County,Plum Point,Plum Point,,41.5301016,-71.435612,,,,human,true,
Card Lot,United States,Rhode Island,Washington County,Tripps Corner,Tripps Corner,,41.5553782,-71.598952,,,,human,true,
Carpenter Lot,United States,Rhode Island,Washington County,Hope Valley,Hope Valley,,41.502044,-71.7217341,,,,human,true,
Carr Cemetery,United States,Rhode Island,Washington County,Lafayette,Lafayette,,41.5698234,-71.4828365,,,,human,true,
Cashman Cemetery,United States,Rhode Island,Washington County,Saunderstown,Saunderstown,,41.5202348,-71.4344915,,,,human,true,
Cezar Onion Lot,United States,Rhode Island,Washington County,Millville,Millville,,41.5928776,-71.678955,,,,human,true,
Champlin Lot,United States,Rhode Island,Washington County,Gardners Corner,Gardners Corner,,41.5267676,-71.5497835,,,,human,true,
Congdon Cemetery,United States,Rhode Island,Washington County,Lafayette,Lafayette,,41.5523234,-71.4970038,,,,human,true,
Curtis Maine Lot,United States,Rhode Island,Washington County,Hopkinton,Hopkinton,,41.4628771,-71.7895135,,,,human,true,
Daniel Lewis Lot,United States,Rhode Island,Washington County,Ashaway,Ashaway,,41.434544,-71.7689568,,,,human,true,
Daniel Peckham Lot,United States,Rhode Island,Washington County,Ashaway,Ashaway,,41.4337107,-71.7739569,,,,human,true,
David Greene Cemetery,United States,Rhode Island,Washington County,Congdon Hill (historical),Congdon Hill (historical),,41.5204863,-71.4847403,,,,human,true,
Dawley Lot,United States,Rhode Island,Washington County,Liberty,Liberty,,41.5500284,-71.5827414,,,,human,true,
Dawley-Straight Lot,United States,Rhode Island,Washington County,Tripps Corner,Tripps Corner,,41.5517672,-71.589785,,,,human,true,
Dawley Lot,United States,Rhode Island,Washington County,Liberty,Liberty,,41.552045,-71.5758956,,,,human,true,
Eleazer Slocum Lot,United States,Rhode Island,Washington County,Pine Hill,Pine Hill,,41.5998224,-71.6139527,,,,human,true,
Eldred Cemetery,United States,Rhode Island,Washington County,Shady Lea,Shady Lea,,41.535665,-71.4647781,,,,human,true,
Elias Lewis Lot,United States,Rhode Island,Washington County,South Hopkinton,South Hopkinton,,41.4329784,-71.7635815,,,,human,true,
Elezer Slocum Lot,United States,Rhode Island,Washington County,Pine Hill,Pine Hill,,41.5948224,-71.616175,,,,human,true,
Flagg Lane Cemetery,United States,Rhode Island,Washington County,Shady Lea,Shady Lea,,41.5359347,-71.4664467,,,,human,true,
Fones Palmer Lot,United States,Rhode Island,Washington County,Woodville,Woodville,,41.4598219,-71.7370118,,,,human,true,
Fones-Haszard Cemetery,United States,Rhode Island,Washington County,Congdon Hill (historical),Congdon Hill (historical),,41.5315886,-71.4855433,,,,human,true,
Foster-Spencer Lot,United States,Rhode Island,Washington County,Canonchet,Canonchet,,41.4837105,-71.7600685,,,,human,true,
Gardiner Lot,United States,Rhode Island,Washington County,Tripps Corner,Tripps Corner,,41.5520447,-71.6167304,,,,human,true,
