name,country,state,county,city,street_address,zip_code,latitude,longitude,email,website,phone_number,type,is_operational,description
Allen Cemetery,United States,South Carolina,Beaufort County,Pritchard,Pritchard,,32.2304782,-81.0009438,,,,human,true,
Allen Chapel Cemetery,United States,South Carolina,Allendale County,Coalla (historical),Coalla (historical),,33.0104348,-81.2609403,,,,human,true,
Arm Oak Cemetery,United States,South Carolina,Jasper County,Deerfield,Deerfield,,32.4179675,-81.1114977,,,,human,true,
Banks Cemetery,United States,South Carolina,Lexington County,Leesville,Leesville,,33.8962551,-81.50427,,,,human,true,
Banks Cemetery,United States,South Carolina,Lexington County,Ridge Road Crossroads,Ridge Road Crossroads,,33.9657481,-81.5020199,,,,human,true,
Bates Cemetery,United States,South Carolina,Saluda County,Hibernia,Hibernia,,33.8968085,-81.5701043,,,,human,true,
Bates Cemetery,United States,South Carolina,Lexington County,Batesburg,Batesburg,,33.9106974,-81.5598264,,,,human,true,
Bath Cemetery,United States,South Carolina,Aiken County,Bath,Bath,,33.5126368,-81.8678906,,,,human,true,
Bland Cemetery,United States,South Carolina,Edgefield County,Mathais Crossroads,Mathais Crossroads,,33.8387445,-81.886779,,,,human,true,
Bodie Cemetery,United States,South Carolina,Saluda County,Holston Crossroads,Holston Crossroads,,33.9609727,-81.6017714,,,,human,true,
Bouknight Cemetery,United States,South Carolina,Saluda County,Holston Crossroads,Holston Crossroads,,33.9476408,-81.5628821,,,,human,true,
Bouknight Cemetery,United States,South Carolina,Saluda County,Holston Crossroads,Holston Crossroads,,33.9643069,-81.5709377,,,,human,true,
Brown Cemetery,United States,South Carolina,Allendale County,Milbury,Milbury,,32.9048827,-81.4089956,,,,human,true,
Brown Cemetery,United States,South Carolina,Aiken County,Eureka,Eureka,,33.6879152,-81.7726087,,,,human,true,
Brown Cemetery,United States,South Carolina,Lexington County,Chinquapin Falls,Chinquapin Falls,,33.8251437,-81.5667708,,,,human,true,
Busbee Cemetery,United States,South Carolina,Aiken County,Baynham (historical),Baynham (historical),,33.7273596,-81.7703861,,,,human,true,
Butler Cemetery,United States,South Carolina,Lexington County,Leesville,Leesville,,33.9481974,-81.5267704,,,,human,true,
Carver Cemetery,United States,South Carolina,Saluda County,Blacks,Blacks,,33.9395824,-81.6670501,,,,human,true,
Cedar Branch Cemetery,United States,South Carolina,Aiken County,Apia (historical),Apia (historical),,33.5312557,-81.5326064,,,,human,true,
Clark Cemetery,United States,South Carolina,Aiken County,Vaucluse,Vaucluse,,33.6198597,-81.7764984,,,,human,true,
Clark Cemetery,United States,South Carolina,Saluda County,Ward,Ward,,33.8115271,-81.72094,,,,human,true,
Cohen Cemetery,United States,South Carolina,Allendale County,Milbury,Milbury,,32.9009941,-81.3951065,,,,human,true,
Corley Cemetery,United States,South Carolina,Saluda County,Hibernia,Hibernia,,33.899307,-81.6153828,,,,human,true,
Courtney Cemetery,United States,South Carolina,Aiken County,Plunket (historical),Plunket (historical),,33.6570878,-81.6026059,,,,human,true,
Cullum Cemetery,United States,South Carolina,Aiken County,Merritts Bridge (historical),Merritts Bridge (historical),,33.7109771,-81.6012163,,,,human,true,
Cumbee Cemetery,United States,South Carolina,Aiken County,Camp Long,Camp Long,,33.7312528,-81.656217,,,,human,true,
Davis Cemetery,United States,South Carolina,Hampton County,Shirley,Shirley,,32.6707284,-81.3170486,,,,human,true,
DeLoach Cemetery,United States,South Carolina,Edgefield County,Harmony,Harmony,,33.7906903,-81.8584445,,,,human,true,
Etheredge Cemetery,United States,South Carolina,Saluda County,Delmar,Delmar,,33.9931958,-81.541493,,,,human,true,
Flat Rock Cemetery,United States,South Carolina,Saluda County,Ridge Spring,Ridge Spring,,33.8279179,-81.6628836,,,,human,true,
Flowers Cemetery,United States,South Carolina,Allendale County,Milbury,Milbury,,32.9168268,-81.3937177,,,,human,true,
