name,country,state,county,city,street_address,zip_code,latitude,longitude,email,website,phone_number,type,is_operational,description
Hines Cemetery,United States,South Dakota,Fall River County,Oral,Oral,,43.4231155,-103.2734999,,,,human,true,
Edgemont Cemetery,United States,South Dakota,Fall River County,Dudley,Dudley,,43.3157087,-103.8155794,,,,human,true,
Buffalo Gap Cemetery,United States,South Dakota,Custer County,Buffalo Gap,Buffalo Gap,,43.4742787,-103.3138355,,,,human,true,
Duck Creek Cemetery,United States,South Dakota,Fall River County,Ardmore,Ardmore,,43.0713921,-103.6563963,,,,human,true,
Evergreen Cemetery,United States,South Dakota,Fall River County,Hot Springs,Hot Springs,,43.4444734,-103.4857857,,,,human,true,
Fairburn Cemetery,United States,SD,Custer County,Fairburn,25598 North Fairburn Road,57738,43.687079,-103.1958607,,,,human,true,
Fairview Cemetery,United States,South Dakota,Fall River County,Oral,Oral,,43.3745355,-103.3232038,,,,human,true,
Highland Cemetery,United States,South Dakota,Fall River County,Rocky Ford,Rocky Ford,,43.3045928,-103.5901071,,,,human,true,
Hillside Cemetery,United States,South Dakota,Fall River County,Oelrichs,Oelrichs,,43.1809066,-103.2570018,,,,human,true,
Horsehead Cemetery,United States,South Dakota,Fall River County,Smithwick,Smithwick,,43.270656,-103.3472103,,,,human,true,
Hot Springs National Cemetery,United States,SD,Fall River County,Hot Springs,Hot Springs,57747,43.4396169,-103.4722215,,https://www.cem.va.gov/cems/nchp/hotsprings.asp,,human,true,
Smithwick Cemetery,United States,South Dakota,Fall River County,Smithwick,Smithwick,,43.2879675,-103.2737978,,,,human,true,
Rockerville Cemetery,United States,South Dakota,Pennington County,Rockerville,Rockerville,,43.9679925,-103.3574979,,,,human,true,
Hill City Cemetery,United States,South Dakota,Pennington County,Hill City,Hill City,,43.9363193,-103.578548,,,,human,true,
Belvedere Cemetery,United States,South Dakota,Jackson County,Belvidere,Belvidere,,43.8496068,-101.2823268,,,,human,true,
Cedarbutte Cemetery,United States,South Dakota,Mellette County,Cedar Butte,Cedar Butte,,43.5999638,-101.1005032,,,,human,true,
Cottonwood Cemetery,United States,South Dakota,Jackson County,Cottonwood,Cottonwood,,43.9788013,-101.9092633,,,,human,true,
Epiphany Cemetery,United States,South Dakota,Todd County,Parmelee,Parmelee,,43.2677997,-101.1448489,,,,human,true,
Flat Top Cemetery,United States,South Dakota,Jackson County,Kadoka,Kadoka,,43.8652312,-101.4112038,,,,human,true,
Gamble Cemetery,United States,South Dakota,Bennett County,Swett,Swett,,43.1366197,-101.9064589,,,,human,true,
Gethsemane Cemetery,United States,South Dakota,Jackson County,Wanblee,Wanblee,,43.5728673,-101.6568035,,,,human,true,
