name,country,state,county,city,street_address,zip_code,latitude,longitude,email,website,phone_number,type,is_operational,description
Bland Cemetery,United States,Tennessee,Fayette County,Belmont,Belmont,,35.3918162,-89.4976949,,,,human,true,
Collier Cemeteries,United States,Tennessee,Haywood County,Fredonia,Fredonia,,35.4170272,-89.4459069,,,,human,true,
Shaw Cemetery,United States,Tennessee,Shelby County,Arlington,Arlington,,35.2573092,-89.6609136,,,,human,true,
Shepherd Cemetery,United States,Tennessee,Fayette County,Rather,Rather,,35.0828666,-89.2797923,,,,human,true,
Shepherd Cemetery,United States,Tennessee,Fayette County,Rather,Rather,,35.0856444,-89.2786812,,,,human,true,
Shiloh Cemetery,United States,Tennessee,Fayette County,Pattersonville,Pattersonville,,35.1075886,-89.3389607,,,,human,true,
Simmons Cemetery,United States,Tennessee,Hardeman County,Vildo,Vildo,,35.43008,-89.1167319,,,,human,true,
Simmons Cemetery,United States,Tennessee,Crockett County,Bells,Bells,,35.7172955,-89.0806204,,,,human,true,
Smith Cemetery,United States,Tennessee,Hardeman County,Cedar Chapel,Cedar Chapel,,35.4042477,-89.1650663,,,,human,true,
Stone Cemetery,United States,Tennessee,Fayette County,New Bethel,New Bethel,,35.0820346,-89.541745,,,,human,true,
Stout Cemetery,United States,Tennessee,Fayette County,Hays,Hays,,35.0056472,-89.5020221,,,,human,true,
Taylor Cemetery,United States,Tennessee,Fayette County,Miller,Miller,,35.3567497,-89.2856249,,,,human,true,
Teel Cemetery,United States,Tennessee,Fayette County,Rossville Junction,Rossville Junction,,35.0434243,-89.5350784,,,,human,true,
Tharp Cemetery,United States,Tennessee,Fayette County,Warren,Warren,,35.2039761,-89.4411855,,,,human,true,
Thomas Cemetery,United States,Tennessee,Shelby County,Arlington,Arlington,,35.2700866,-89.6261904,,,,human,true,
Tipton Cemetery,United States,Tennessee,Tipton County,Solo,Solo,,35.554803,-89.6111885,,,,human,true,
Trainer Cemetery,United States,Tennessee,Fayette County,Mount Moriah,Mount Moriah,,35.3250834,-89.2489572,,,,human,true,
Union Grove Cemetery,United States,Tennessee,Tipton County,Beaver,Beaver,,35.5070264,-89.825361,,,,human,true,
Vison Cemetery,United States,Tennessee,Madison County,Hatchie,Hatchie,,35.418413,-89.0517304,,,,human,true,
Vison Cemetery,United States,Tennessee,Madison County,Hatchie,Hatchie,,35.4309128,-89.0667308,,,,human,true,
Walker Cemetery,United States,Tennessee,Fayette County,Piperton,Piperton,,35.0109252,-89.5853579,,,,human,true,
Walker Cemetery,United States,Tennessee,Fayette County,Piperton,Piperton,,35.0139808,-89.5845245,,,,human,true,
Walker Cemetery,United States,Tennessee,Haywood County,Woodland,Woodland,,35.5209115,-89.1183988,,,,human,true,
Waller Cemetery,United States,Tennessee,Fayette County,Macon,Macon,,35.1961986,-89.4711864,,,,human,true,
Warr Cemetery,United States,Tennessee,Fayette County,Elba,Elba,,35.0798126,-89.5659123,,,,human,true,
Warr Cemetery,United States,Tennessee,Fayette County,Elba,Elba,,35.0798126,-89.5709124,,,,human,true,
Wells Cemetery,United States,Tennessee,Shelby County,Arlington,Arlington,,35.2498094,-89.6698028,,,,human,true,
Whitetaker Cemetery,United States,Tennessee,Fayette County,Somerville,Somerville,,35.2406411,-89.30007,,,,human,true,
Williams Cemetery,United States,Tennessee,Hardeman County,Cedar Chapel,Cedar Chapel,,35.3914701,-89.155066,,,,human,true,
Williams Cemetery,United States,Tennessee,Tipton County,Randolph,Randolph,,35.5186929,-89.8870294,,,,human,true,
Williams Chapel Cemetery,United States,Tennessee,Dyer County,Bonicord,Bonicord,,35.9472948,-89.3222934,,,,human,true,
Williamson Cemetery,United States,Tennessee,Fayette County,Canadaville,Canadaville,,35.1617554,-89.5725785,,,,human,true,
Williamson Cemetery,United States,Tennessee,Fayette County,Lambert,Lambert,,35.3389733,-89.4425738,,,,human,true,
Wilson Cemetery,United States,Tennessee,Fayette County,Oakland,Oakland,,35.2320314,-89.5167431,,,,human,true,
