name,country,state,county,city,street_address,zip_code,latitude,longitude,email,website,phone_number,type,is_operational,description
Panteón Del Ejido de Guadalupe,United States,Texas,Starr County,Guadalupe Guerra Colonia,Guadalupe Guerra Colonia,,24.89101,-99.4551721,,,,human,true,
El Roble,United States,Texas,Starr County,Guadalupe Guerra Colonia,Guadalupe Guerra Colonia,,25.7069999,-100.3527582,,,,human,true,
Pantéon Tepeyac,United States,Texas,Starr County,Guadalupe Guerra Colonia,Guadalupe Guerra Colonia,,25.7049892,-100.35423,,,,human,true,
Panteón Valle Verde,United States,Texas,Starr County,Guadalupe Guerra Colonia,Guadalupe Guerra Colonia,,25.7475278,-100.3794566,,,,human,true,
Parque Funeral Las Huertas,United States,Texas,Starr County,Guadalupe Guerra Colonia,Guadalupe Guerra Colonia,,25.6846388,-100.2488614,,,,human,true,
Panteon Sagrado Corazon,United States,Texas,Starr County,Guadalupe Guerra Colonia,Guadalupe Guerra Colonia,,25.733332,-100.3410203,,,,human,true,
Parque Funeral de la Paz,United States,Texas,Starr County,Guadalupe Guerra Colonia,Guadalupe Guerra Colonia,,25.6826445,-100.1997919,,,,human,true,
Panteón Municipal San Jorge,United States,Texas,Starr County,Guadalupe Guerra Colonia,Guadalupe Guerra Colonia,,25.7196212,-100.3547916,,,,human,true,
Panteón de las Escobas (Eternidad del Oriente),United States,Texas,Starr County,Guadalupe Guerra Colonia,Guadalupe Guerra Colonia,,25.6890867,-100.1694534,,,,human,true,
Jardines de San Miguel,United States,Texas,Starr County,Guadalupe Guerra Colonia,Guadalupe Guerra Colonia,,25.7065918,-100.1840361,,,,human,true,
Panteon de Dolores,United States,Texas,Starr County,Guadalupe Guerra Colonia,Guadalupe Guerra Colonia,,25.6811872,-100.335839,,,,human,true,
Cementerio Municipal,United States,Texas,Starr County,Guadalupe Guerra Colonia,Guadalupe Guerra Colonia,,25.5919559,-100.0266644,,,,human,true,
"Panteon Municipal ""Jardín del Edén""",United States,Texas,Starr County,Guadalupe Guerra Colonia,Guadalupe Guerra Colonia,,25.8011166,-100.3239686,,,,human,true,
"Panteon Municipal ""La Divina Trinidad""",United States,Texas,Starr County,Guadalupe Guerra Colonia,Guadalupe Guerra Colonia,,25.798104,-100.3284307,,,,human,true,
La Piedad,United States,Texas,Starr County,Guadalupe Guerra Colonia,Guadalupe Guerra Colonia,,25.6623662,-100.1302359,,,,human,true,
Panteon Municipal,United States,Texas,Zapata County,Los Lobos,Los Lobos,,25.9721542,-100.4506702,,,,human,true,
Panteon Municipal San Juan,United States,Texas,Starr County,Guadalupe Guerra Colonia,Guadalupe Guerra Colonia,,25.6866225,-100.4670177,,,,human,true,
Panteon Santo Domingo,United States,Texas,Starr County,Guadalupe Guerra Colonia,Guadalupe Guerra Colonia,,25.3969577,-100.1200015,,,,human,true,
Parque Funeral Guadalupe,United States,Texas,Starr County,Guadalupe Guerra Colonia,Guadalupe Guerra Colonia,,25.5871985,-100.2796316,,,,human,true,
Panteon Santa Catalina,United States,Texas,Starr County,Guadalupe Guerra Colonia,Guadalupe Guerra Colonia,,25.7087123,-100.4964004,,,,human,true,
