name,country,state,county,city,street_address,zip_code,latitude,longitude,email,website,phone_number,type,is_operational,description
Tonaquint Cemetery,United States,Utah,Washington County,Saint George,Saint George,,37.0799227,-113.6014702,,,,human,true,
Enterprise City Cemetery,United States,Utah,Washington County,Enterprise,Enterprise,,37.5762625,-113.7088663,,,,human,true,
Newcastle Cemetery,United States,Utah,Iron County,Newcastle,Newcastle,,37.6622643,-113.5671264,,,,human,true,
Cedar City Cemetery,United States,Utah,Iron County,Cedar City,Cedar City,,37.6909639,-113.0646606,,,,human,true,
Toquerville Cemetery,United States,Utah,Washington County,Virgin Territory Trailer Park,Virgin Territory Trailer Park,,37.2279598,-113.2825304,,,,human,true,
LaVerkin City Cemetery,United States,Utah,Washington County,Virgin Territory Trailer Park,Virgin Territory Trailer Park,,37.212597,-113.270942,,,,human,true,
Virgin Cemetery,United States,Utah,Washington County,Virgin,Virgin,,37.2065268,-113.1906827,,,,human,true,
Springdale Cemetery,United States,Utah,Washington County,Springdale,Springdale,,37.1932278,-113.0022244,,,,human,true,
Hurricane City Cemetery,United States,Utah,Washington County,Hurricane,Hurricane,,37.1872896,-113.2841382,,,,human,true,
Grafton Cemetery,United States,Utah,Washington County,Grafton,Grafton,,37.1630542,-113.0808648,,,,human,true,
Veyo Cemetery,United States,Utah,Washington County,Veyo,Veyo,,37.3463777,-113.6842822,,,,human,true,
Ivins City Cemetery,United States,Utah,Washington County,Ivins,Ivins,,37.1754907,-113.6830831,,,,human,true,
Enoch Cemetery,United States,UT,Iron County,Enoch,1580 East Sunrise Drive,84720,37.7686832,-113.0280385,,,,human,true,
Leeds Cemetery,United States,Utah,Washington County,Leeds,Leeds,,37.2372307,-113.3691898,,,,human,true,
Kanarraville Cemetery,United States,Utah,Iron County,Kanarraville,Kanarraville,,37.538764,-113.1966282,,,,human,true,
Holt Cemetery,United States,Utah,Washington County,Enterprise,Enterprise,,37.5850441,-113.6355314,,,,human,true,
Hebron Cemetery,United States,Utah,Washington County,Enterprise,Enterprise,,37.5904755,-113.8253784,,,,human,true,
Hamblin Cemetery,United States,Utah,Washington County,Enterprise,Enterprise,,37.5363951,-113.6077755,,,,human,true,
Winsor Memorial Cemetery,United States,Utah,Washington County,Enterprise,Enterprise,,37.5822587,-113.7218783,,,,human,true,
Pintura Cemetery,United States,Utah,Washington County,Pintura,Pintura,,37.3434412,-113.2742795,,,,human,true,
Pinto Cemetery,United States,Utah,Iron County,Old Irontown,Old Irontown,,37.5409282,-113.5136511,,,,human,true,
Pine Valley Cemetery,United States,Utah,Washington County,Pine Valley,Pine Valley,,37.3994902,-113.5085786,,,,human,true,
New Harmony Cemetery,United States,Utah,Washington County,New Harmony,New Harmony,,37.4794219,-113.3004411,,,,human,true,
Modena Cemetery,United States,Utah,Iron County,Modena,Modena,,37.8238895,-113.936644,,,,human,true,
Santa Clara City Cemetery,United States,Utah,Washington County,Santa Clara,Santa Clara,,37.1407312,-113.6667798,,,,human,true,
Rockville Cemetery,United States,Utah,Washington County,Rockville,Rockville,,37.162064,-113.0340996,,,,human,true,
Harrisburg Cemetery,United States,Utah,Washington County,Harrisburg,Harrisburg,,37.2057518,-113.3918914,,,,human,true,
Shivwits Cemetery,United States,Utah,Washington County,Shivwits,Shivwits,,37.1823059,-113.765304,,,,human,true,
Gunlock Cemetery,United States,Utah,Washington County,Gunlock,Gunlock,,37.290683,-113.7592395,,,,human,true,
Silver Reef Catholic Cemetery,United States,Utah,Washington County,Leeds,Leeds,,37.244563,-113.3646717,,,,human,true,
John McGarry Memorial Park Cemetery,United States,Utah,Iron County,Beryl Junction,Beryl Junction,,37.6926343,-113.7182513,,,,human,true,
Silver Reef Protestant Cemetery,United States,Utah,Washington County,Leeds,Leeds,,37.2456732,-113.3620472,,,,human,true,
Central Cemetery,United States,Utah,Washington County,Central,Central,,37.4234025,-113.6250519,,,,human,true,
Old Alexander Cemetery,United States,Utah,Washington County,Washington,Washington,,37.1370043,-113.506807,,,,human,true,
Tropic Cemetery,United States,Utah,Garfield County,Tropic,Tropic,,37.6296086,-112.0827086,,,,human,true,
Kanab City Cemetery,United States,Utah,Kane County,Kanab,Kanab,,37.0439086,-112.5187047,,,,human,true,
Escalante Cemetery,United States,Utah,Garfield County,Escalante,Escalante,,37.7652464,-111.5832009,,,,human,true,
Cannonville Cemetery,United States,Utah,Garfield County,Cannonville,Cannonville,,37.5802533,-112.0583952,,,,human,true,
Orderville Cemetery,United States,Utah,Kane County,Orderville,Orderville,,37.2722456,-112.6373453,,,,human,true,
Mount Carmel Cemetery,United States,Utah,Kane County,Mount Carmel,Mount Carmel,,37.2476424,-112.6683638,,,,human,true,
Alton Cemetery,United States,Utah,Kane County,Alton,Alton,,37.4319988,-112.4895992,,,,human,true,
Hatch Cemetery,United States,UT,Garfield County,Hatch,704 South US 89,84735,37.6370984,-112.4447326,,,,human,true,
Glendale City Cemetery,United States,Utah,Kane County,Glendale,Glendale,,37.3186478,-112.5914748,,,,human,true,
Panguitch City Cemetery,United States,Utah,Garfield County,Panguitch,Panguitch,,37.815815,-112.4171747,,,,human,true,
Boulder Cemetery,United States,Utah,Garfield County,Boulder Town,Boulder Town,,37.9213778,-111.4256324,,,,human,true,
Parowan City Cemetery,United States,Utah,Iron County,Parowan,Parowan,,37.8366659,-112.8179727,,,,human,true,
Pariah Cemetery,United States,Utah,Kane County,Paria,Paria,,37.243099,-111.9575378,,,,human,true,
Summit City Cemetery,United States,Utah,Iron County,Summit,Summit,,37.805735,-112.9398258,,,,human,true,
Georgetown Cemetery,United States,Utah,Kane County,Georgetown,Georgetown,,37.536389,-112.0554789,,,,human,true,
Henrieville Cemetery,United States,Utah,Garfield County,Henrieville,Henrieville,,37.5652999,-112.0043989,,,,human,true,
Widtsoe Cemetery,United States,Utah,Garfield County,Widtsoe Junction,Widtsoe Junction,,37.8232649,-112.0076823,,,,human,true,
Paragonah Cemetery,United States,Utah,Iron County,Paragonah,Paragonah,,37.8870646,-112.761816,,,,human,true,
Spry Cemetery,United States,Utah,Garfield County,Bear Valley Junction,Bear Valley Junction,,37.9183333,-112.4364611,,,,human,true,
Hillsdale Cemetery,United States,Utah,Garfield County,Hillsdale,Hillsdale,,37.7183617,-112.376096,,,,human,true,
Angel's Rest Animal Cemetery,United States,Utah,Kane County,Kanab,Kanab,,37.147767,-112.5403491,,,,human,true,
Monument Valley Cemetery,United States,Utah,San Juan County,Goulding,Goulding,,37.0265801,-110.1979788,,,,human,true,
Bluff Cemetery,United States,Utah,San Juan County,Bluff,Bluff,,37.2878484,-109.5546829,,,,human,true,
Blanding City Cemetery,United States,Utah,San Juan County,Blanding,Blanding,,37.6321223,-109.4683201,,,,human,true,
Monticello City Cemetery,United States,Utah,San Juan County,Monticello,Monticello,,37.8678992,-109.3303791,,,,human,true,
Sandy Spring Cemetery,United States,Utah,San Juan County,Aneth,Aneth,,37.2320724,-109.2130746,,,,human,true,
Cedar Cemetery,United States,Utah,San Juan County,Eastland,Eastland,,37.7057284,-109.0817403,,,,human,true,
Mountain View Cemetery,United States,Utah,San Juan County,Eastland,Eastland,,37.7997297,-109.1084311,,,,human,true,
St. Christopher's Cemetery,United States,UT,San Juan County,Bluff,Bluff,84512,37.2854594,-109.5125595,,,,human,true,
Navajo Mountain Cemetery,United States,Utah,San Juan County,Rainbow City,Rainbow City,,37.073913,-110.7429432,,,,human,true,
Lone Mountain,United States,Utah,San Juan County,Aneth,Aneth,,37.2067696,-109.1997324,,,,human,true,
Aneth Cemetery,United States,Utah,San Juan County,Aneth,Aneth,,37.2104617,-109.1701355,,,,human,true,
Callao Cemetery,United States,Utah,Juab County,Callao,Callao,,39.8854959,-113.7086021,,,,human,true,
Frisco Cemetery,United States,Utah,Beaver County,Frisco,Frisco,,38.4511111,-113.2686111,,,,human,true,
Milford City Cemetery,United States,Utah,Beaver County,Milford,Milford,,38.3950689,-113.0149674,,,,human,true,
State Line Cemetery,United States,Utah,Iron County,State Line,State Line,,38.0013419,-114.0019603,,,,human,true,
Squire Family Cemetery,United States,Utah,Beaver County,Newhouse,Newhouse,,38.4888633,-113.4971593,,,,human,true,
Hockman Cemetery,United States,Utah,Millard County,Garrison,Garrison,,38.8110368,-114.0219747,,,,human,true,
Garrison Cemetery,United States,Utah,Millard County,Garrison,Garrison,,38.9389473,-114.0314671,,,,human,true,
Terrace Hill Cemetery,United States,Utah,Piute County,Junction,Junction,,38.2374784,-112.2202049,,,,human,true,
Confederate Soldier Graveyard,United States,Utah,Wasatch County,Soldier Summit,Soldier Summit,,39.9234245,-111.0821616,,,,human,true,
Mount Pleasant City Cemetery,United States,Utah,Sanpete County,Mount Pleasant,Mount Pleasant,,39.5335483,-111.4534972,,,,human,true,
Fitch Cemetery,United States,Utah,Juab County,Mammoth Junction,Mammoth Junction,,39.937162,-112.1529087,,,,human,true,
Eureka Cemetery,United States,Utah,Juab County,Mammoth Junction,Mammoth Junction,,39.9448515,-112.1470336,,,,human,true,
Monroe City Cemetery,United States,Utah,Sevier County,Monroe,Monroe,,38.642653,-112.1122625,,,,human,true,
Santaquin City Cemetery,United States,Utah,Utah County,Santaquin,Santaquin,,39.9698838,-111.7827304,,,,human,true,
Torrey Cemetery,United States,Utah,Wayne County,Torrey,Torrey,,38.2969118,-111.4001783,,,,human,true,
Loa Cemetery,United States,Utah,Wayne County,Loa,Loa,,38.4035911,-111.6554771,,,,human,true,
Manti Cemetery,United States,Utah,Sanpete County,Manti,Manti,,39.2763124,-111.6335877,,,,human,true,
Wales Cemetery,United States,Utah,Sanpete County,Wales,Wales,,39.482534,-111.6441434,,,,human,true,
Mountain View Cemetery,United States,Utah,Piute County,Marysvale,Marysvale,,38.4521626,-112.2162232,,,,human,true,
