name,country,state,county,city,street_address,zip_code,latitude,longitude,email,website,phone_number,type,is_operational,description
Dillman Cemetery,United States,Virginia,Lee County,Ewing,Ewing,,36.6164747,-83.4254623,,,,human,true,
Ealy Cemetery,United States,Virginia,Lee County,Ewing,Ewing,,36.6181416,-83.4062948,,,,human,true,
Graham Cemetery,United States,Virginia,Lee County,Collier Mill,Collier Mill,,36.6820339,-83.0412792,,,,human,true,
Houndshell Cemetery,United States,Virginia,Lee County,Wilson Hill,Wilson Hill,,36.6309203,-83.3182358,,,,human,true,
Lambert Cemetery,United States,Virginia,Lee County,Blackwater,Blackwater,,36.6564785,-83.0623913,,,,human,true,
Lucas Cemetery,United States,Virginia,Lee County,Hockett,Hockett,,36.7175879,-83.1962867,,,,human,true,
McConnell Cemetery,United States,Virginia,Lee County,Sulphur Springs,Sulphur Springs,,36.6945335,-83.0629469,,,,human,true,
Olinger Cemetery,United States,Virginia,Lee County,Blackwater,Blackwater,,36.6492564,-83.0618357,,,,human,true,
Parkey Cemetery,United States,Virginia,Lee County,Kincer Mill,Kincer Mill,,36.6373117,-83.097115,,,,human,true,
Pillion Cemetery,United States,Virginia,Lee County,Edds Mill,Edds Mill,,36.624253,-83.3810161,,,,human,true,
Robinson Cemetery,United States,Virginia,Lee County,Dona,Dona,,36.6042578,-83.002111,,,,human,true,
Slagle Cemetery,United States,Virginia,Lee County,Collier Mill,Collier Mill,,36.6939785,-83.0015551,,,,human,true,
Smith Cemetery,United States,Virginia,Lee County,Pennington Gap,Pennington Gap,,36.7373109,-83.0196113,,,,human,true,
Woodward Cemetery,United States,Virginia,Lee County,Hockett,Hockett,,36.7125882,-83.1651741,,,,human,true,
Baker Cemetery,United States,Virginia,Lee County,Dominion,Dominion,,36.7942556,-83.09267,,,,human,true,
Napier Cemetery,United States,Virginia,Lee County,Ocoonita,Ocoonita,,36.7634216,-83.118505,,,,human,true,
Parsons Cemetery,United States,Virginia,Lee County,Ely,Ely,,36.7675888,-83.0018323,,,,human,true,
Pennington Cemetery,United States,Virginia,Lee County,Pocket,Pocket,,36.7720332,-83.0346117,,,,human,true,
Pennington Gap Cemetary,United States,Virginia,Lee County,Ben Hur,Ben Hur,,36.7674617,-83.0995573,,,,human,true,
Southern Cemetery,United States,Virginia,Lee County,Gibson Station,Gibson Station,,36.5973355,-83.5995999,,,,human,true,
Gibson Cemetery,United States,Virginia,Lee County,Gibson Mill,Gibson Mill,,36.6108183,-83.5696748,,,,human,true,
Arnold Cemetery,United States,Virginia,Lee County,Gibson Mill,Gibson Mill,,36.6086054,-83.5663139,,,,human,true,
