name,country,state,county,city,street_address,zip_code,latitude,longitude,email,website,phone_number,type,is_operational,description
Dunkard Graveyard,United States,Washington,Klickitat County,Appleton,Appleton,,45.8876222,-121.2828527,,,,human,true,
Evergreen Memorial Gardens,United States,Washington,Clark County,Burton,Burton,,45.6301283,-122.5537786,,https://www.evergreenmemorialgardens.com/,,human,true,
Saint James Cemetery,United States,Washington,Clark County,Vancouver,Vancouver,,45.6410498,-122.6578592,,,,human,true,
Stevenson Cemetery,United States,WA,Skamania County,Stevenson,45302 State Route 14,98648,45.6995388,-121.8671267,,,,human,true,
La Center Cemetery,United States,Washington,Clark County,La Center,La Center,,45.8669571,-122.6546437,,,,human,true,
Salmon Creek Cemetery,United States,Washington,Clark County,Salmon Creek,Salmon Creek,,45.7042768,-122.6621699,,,,human,true,
Lewisville Cemetery,United States,Washington,Clark County,Charter Oak,Charter Oak,,45.8164918,-122.5481418,,,,human,true,
Camas Cemetery,United States,WA,Clark County,Camas,630 Northeast Oak Street,,45.5938303,-122.3955563,,,,human,true,
Fern Prairie Cemetery,United States,Washington,Clark County,Fern Prairie,Fern Prairie,,45.6234917,-122.3966583,,,,human,true,
Old Carson Cemetery,United States,WA,Skamania County,Carson,851 Metzger Road,98610,45.7376479,-121.8160099,,,,human,true,
Wind River Memorial Cemetery,United States,WA,Skamania County,Carson,802 Metzger Road,98610,45.7378878,-121.8143095,,,,human,true,
Iman Cemetery,United States,Washington,Skamania County,Stevenson,Stevenson,,45.6989966,-121.8991707,,,,human,true,
Wish-Ham Cemetery,United States,Washington,Klickitat County,Smithville,Smithville,,45.6309459,-121.1509717,,,,human,true,
Cascade Pioneer Cemetery,United States,Washington,Skamania County,Moffetts Hot Springs,Moffetts Hot Springs,,45.6464349,-121.9591101,,,,human,true,
Carson Eyman Cemetery,United States,WA,Skamania County,Carson,1451 Metzger Road,98610,45.7407064,-121.8260631,,,,human,true,
Northwood Park Cemetery,United States,Washington,Clark County,Baker,Baker,,45.7407678,-122.6546826,,,,human,true,
Sacred Heart Cemetery,United States,Washington,Clark County,Lewisville,Lewisville,,45.8021456,-122.5363487,,,,human,true,
Kerns-Bozorth Cemetery,United States,Washington,Cowlitz County,Woodland,197 East Scott Avenue,,45.9181162,-122.7436938,,,,human,true,
Park Hill Cemetery,United States,Washington,Clark County,McLoughlin Heights,McLoughlin Heights,,45.6263175,-122.6089653,,,,human,true,
Frank Abel Cemetery,United States,Washington,Clark County,Highland,Highland,,45.9390382,-122.6365765,,,,human,true,
Highland Cemetery,United States,Washington,Clark County,Highland,Highland,,45.9054701,-122.6386561,,,,human,true,
Saint John the Evangelist Catholic Cemetery,United States,Washington,Clark County,Saint John,Saint John,,45.6997998,-122.6092258,,,,human,true,
Elim Cemetery South,United States,Washington,Clark County,Brush Prairie,Brush Prairie,,45.736822,-122.5346483,,,,human,true,
Bethel Cemetery,United States,Washington,Clark County,Brush Prairie,Brush Prairie,,45.7368083,-122.5378991,,,,human,true,
Elim Cemetery North,United States,Washington,Clark County,Brush Prairie,Brush Prairie,,45.7376447,-122.5345862,,,,human,true,
Old City Cemetery,United States,Washington,Clark County,Officers Row,Officers Row,,45.6292288,-122.6424678,,,,human,true,
Brush Prarie Cemetary,United States,WA,Clark County,Vancouver,11329 Northeast 117th Avenue,98662,45.7043747,-122.5518273,,,,human,true,
Vancouver Barracks National Cemetery,United States,WA,Clark County,Vancouver,1455 East Fourth Plain Boulevard,98663,45.6397792,-122.6591475,,https://www.cem.va.gov/cems/nchp/VancouverBarracks.asp,+1-503-273-5250,human,true,
Saint Mary of Guadalupe Cemetery,United States,Washington,Clark County,West Pioneer,West Pioneer,,45.8262405,-122.6821667,,,,human,true,
Memory Memorial Park,United States,Washington,Clark County,Manor,Manor,,45.7269251,-122.6011079,,,,human,true,
Gardner Cemetery,United States,Washington,Clark County,Hayes,Hayes,,45.9317708,-122.6781335,,,,human,true,
Hayes Cemetery,United States,Washington,Clark County,Hayes,Hayes,,45.9319671,-122.6784857,,,,human,true,
Washougal Memorial Cemetery,United States,Washington,Clark County,Washougal,Washougal,,45.5885185,-122.3346062,,,,human,true,
Ridgefield Cemetery,United States,Washington,Clark County,Ridgefield,Ridgefield,,45.8127578,-122.735768,,,,human,true,
Sara Union Cemetery,United States,Washington,Clark County,Sara,Sara,,45.7541206,-122.7140213,,,,human,true,
Bethel Cemetery at Ridgefield,United States,Washington,Clark County,Lambert,Lambert,,45.7935465,-122.6935287,,,,human,true,
Lone Pine Cemetery,United States,Washington,Cowlitz County,Woodland Park,Woodland Park,,45.9986926,-122.5042896,,,,human,true,
Pioneer Cemetery,United States,Washington,Clark County,Pioneer,Pioneer,,45.8224759,-122.6405305,,,,human,true,
Sunnyside Cemetery,United States,Washington,Clark County,Washougal,Washougal,,45.6148156,-122.3492665,,,,human,true,
Chelatchie Prarie Cemetery,United States,Washington,Clark County,Chelatchie,Chelatchie,,45.9319859,-122.3790559,,,,human,true,
Crawford Cemetery,United States,Washington,Clark County,Crawford,Crawford,,45.7987873,-122.4662839,,,,human,true,
High Prairie Pioneer Cemetery,United States,Washington,Klickitat County,Pitt,Pitt,,45.7378637,-121.1542721,,,,human,true,
Frankton Cemetery,United States,Washington,Skamania County,Hood,Hood,,45.7076,-121.5600477,,,,human,true,
Klickitat County Cemetery District No. 1,United States,Washington,Klickitat County,White Salmon,White Salmon,,45.7485839,-121.4788547,,,,human,true,
Underwood Cemetery,United States,Washington,Skamania County,Underwood Heights,Underwood Heights,,45.7395409,-121.5273432,,,,human,true,
St. John Lutheran Cemetery,United States,Washington,Clark County,Salmon Creek,Salmon Creek,,45.7042823,-122.6628433,,,,human,true,
St. Martin Cemetery,United States,WA,Skamania County,Carson,31 Saint Martin's Springs Road,98610,45.7268502,-121.8002317,,,,human,true,
Mountain View Cemetery,United States,Washington,Clark County,View,View,,45.902146,-122.5516552,,,,human,true,
Gravel Point Cemetery,United States,Washington,Clark County,Hockinson,Hockinson,,45.7697616,-122.4753043,,,,human,true,
Lyle Cemetery,United States,Washington,Klickitat County,Lyle,Lyle,,45.720501,-121.3281638,,,,human,true,
Mount Adams Cemetery,United States,Washington,Klickitat County,Glenwood,Glenwood,,45.9927541,-121.3348921,,,,human,true,
Trout Lake Cemetery,United States,Washington,Klickitat County,Trout Lake,Trout Lake,,45.9956033,-121.4752816,,,,human,true,
Fourth Plain Cemetery,United States,WA,Clark County,Vancouver,7200 Northeast 126th Court,98682,45.67462,-122.5425877,,,,human,true,
Fisher Cemetery,United States,Washington,Clark County,Fisher,Fisher,,45.5890908,-122.5023338,,,,human,true,
Livingston Cemetery,United States,Washington,Clark County,Livingston,Livingston,,45.6871249,-122.4340257,,,,human,true,
Amboy Cemetery,United States,Washington,Clark County,Amboy,Amboy,,45.9276293,-122.4619815,,,,human,true,
Finn Hill Cemetery,United States,WA,Clark County,Brush Prairie,17905 Northeast 192nd Avenue,98606,45.7518087,-122.4737569,,,,human,true,
Mountain View Cemetery,United States,Washington,Klickitat County,Goldendale,Goldendale,,45.8305495,-120.8207194,,,,human,true,
Sixprong Cemetery,United States,Washington,Klickitat County,Sixprong,Sixprong,,45.8809584,-120.0239262,,,,human,true,
Centerville Cemetery,United States,Washington,Klickitat County,Centerville,Centerville,,45.7311036,-120.9069228,,,,human,true,
Cleveland Cemetary,United States,Washington,Klickitat County,Cleveland,Cleveland,,45.9731724,-120.3482207,,https://www.findagrave.com/cemetery/2184026/cleveland-cemetery,,human,true,
Blackwolf Cemetery,United States,Washington,Klickitat County,Goodnoe Hills,Goodnoe Hills,,45.7950284,-120.4606522,,https://www.findagrave.com/cemetery/2259751/blackwolf-cemetery,,human,true,
Abernathy Cemetery,United States,Washington,Cowlitz County,Oak Point,Oak Point,,46.1907086,-123.1717116,,,,human,true,
Snow Cemetery,United States,Washington,Lewis County,Vader,Vader,,46.4551066,-123.0095665,,,,human,true,
Grasseth Cemetery,United States,Washington,Wahkiakum County,Eagle Cliff,Eagle Cliff,,46.1823323,-123.2153996,,,,human,true,
Miller Cemetery,United States,Washington,Mason County,Agate,Agate,,47.2139841,-123.027927,,,,human,true,
Longview Memorial Park Cemetery,United States,Washington,Cowlitz County,West Longview,West Longview,,46.1606195,-123.0224097,,,,human,true,
Shelton Memorial Park,United States,Washington,Mason County,Pines Mobile Home Park,Pines Mobile Home Park,,47.2180046,-123.125047,,,,human,true,
Fern Hill Cemetery,United States,Washington,Pacific County,Menlo,Menlo,,46.6338868,-123.6611492,,,,human,true,
Fern Hill Cemetery,United States,WA,Grays Harbor County,Aberdeen,2212 Roosevelt Street,98520,46.9943039,-123.7980219,,,,human,true,
Ocean Park Cemetery,United States,Washington,Pacific County,Ocean Park,Ocean Park,,46.4898912,-124.0423342,,,,human,true,
Grand Mound Cemetery,United States,WA,Thurston County,Rochester,6625 183rd Avenue Southwest,98579,46.8211885,-123.0209362,,,,human,true,
Oddfellows Cemetary,United States,Washington,Grays Harbor County,Viking West Mobile Home Park,Viking West Mobile Home Park,,47.0102632,-123.3824784,,,,human,true,
Masonic Cemetery,United States,Washington,Grays Harbor County,Oak Acres Mobile Home Park,Oak Acres Mobile Home Park,,47.002023,-123.4355459,,,,human,true,
McCleary Cemetary,United States,WA,Grays Harbor County,McCleary,816 West Simpson Avenue,98557,47.0559855,-123.2763835,,,,human,true,
Wynoochee Cemetery,United States,Washington,Grays Harbor County,Alder Grove,Alder Grove,,46.9785926,-123.6237069,,,,human,true,
Forks Cemetery,United States,Washington,Clallam County,Willow Place Mobile Home Park,Willow Place Mobile Home Park,,47.9580968,-124.3693444,,,,human,true,
Sharon Cemetery,United States,WA,Grays Harbor County,Oakville,966 South Bank Road,98568,46.9284696,-123.3238961,,,,human,true,
Benn Cemetery,United States,Washington,Grays Harbor County,Oakville,Oakville,,46.8304485,-123.2245519,,,,human,true,
Oakville Pioneer Cemetary,United States,Washington,Grays Harbor County,Oakville,Oakville,,46.8322696,-123.2228972,,,,human,true,
Delphi Pioneer Cemetary,United States,Washington,Thurston County,Delphi,Delphi,,46.9668564,-123.0345073,,,,human,true,
Pe Ell Cemetery,United States,Washington,Lewis County,Pe Ell,Pe Ell,,46.5733836,-123.3013177,,,,human,true,
Forest Lawn Cemetery,United States,Washington,Lewis County,Pe Ell,Pe Ell,,46.5647312,-123.3014209,,,,human,true,
Saint Josephs Catholic Cemetery,United States,Washington,Lewis County,Pe Ell,Pe Ell,,46.5647753,-123.3031161,,,,human,true,
Sylvan Cemetery,United States,Washington,Lewis County,Doty,Doty,,46.6462739,-123.2669214,,,,human,true,
Quileute Cemetery,United States,Washington,Clallam County,La Push,La Push,,47.904951,-124.6253574,,,,human,true,
Cathlamet Pioneer Cemetery,United States,Washington,Wahkiakum County,Cathlamet,Cathlamet,,46.2025945,-123.3811693,,,,human,true,
