name,country,state,county,city,street_address,zip_code,latitude,longitude,email,website,phone_number,type,is_operational,description
Green Cemetery,United States,West Virginia,Mercer County,Ruth (historical),Ruth (historical),,37.3253938,-81.3489906,,,,human,true,
Keen Cemetery,United States,West Virginia,McDowell County,Jackson Flats,Jackson Flats,,37.3128899,-81.8612289,,,,human,true,
Adkins Cemetery,United States,West Virginia,Boone County,Jeffrey,Jeffrey,,37.9754263,-81.8152782,,,,human,true,
Aker Cemetery,United States,West Virginia,Mingo County,East Kermit,East Kermit,,37.8192637,-82.3982016,,,,human,true,
Alexanders Cemetery,United States,West Virginia,Mingo County,Dingess,Dingess,,37.8623221,-82.1595792,,,,human,true,
Algoma Cemetery,United States,West Virginia,McDowell County,Gilliam,Gilliam,,37.4384481,-81.4126028,,,,human,true,
Anderson Cemetery,United States,West Virginia,Mingo County,Spaulding,Spaulding,,37.9089844,-82.3620898,,,,human,true,
Athey Cemetery,United States,West Virginia,Raleigh County,Matville,Matville,,37.8192791,-81.3201043,,,,human,true,
Bailey Cemetery,United States,West Virginia,McDowell County,Panther,Panther,,37.4478887,-81.8931742,,,,human,true,
Baisden Cemetery,United States,West Virginia,Logan County,Lintz Addition,Lintz Addition,,37.8514882,-82.0213218,,,,human,true,
Baisden Cemetery,United States,West Virginia,Mingo County,Spaulding,Spaulding,,37.8503752,-82.3209764,,,,human,true,
Ball Cemetery,United States,West Virginia,Boone County,Jeffrey,Jeffrey,,37.9736507,-81.8208531,,,,human,true,
Belcher Cemetery,United States,West Virginia,Mercer County,Nemours,Nemours,,37.2870611,-81.291489,,,,human,true,
Belcher Cemetery,United States,West Virginia,Mercer County,Shinbrier,Shinbrier,,37.3312273,-81.3189899,,,,human,true,
Bell Cemetery,United States,West Virginia,Mercer County,Coaldale,Coaldale,,37.3565048,-81.3417681,,,,human,true,
Bias Cemetery,United States,West Virginia,Logan County,Isom,Isom,,37.9478809,-81.8603996,,,,human,true,
Bias Cemetery,United States,West Virginia,Boone County,Hewett,Hewett,,37.9537142,-81.8506771,,,,human,true,
Biggs Cemetery,United States,West Virginia,Raleigh County,Maynor,Maynor,,37.864001,-81.2673265,,,,human,true,
Blankenship Cemetery,United States,West Virginia,McDowell County,Panther,Panther,,37.4581661,-81.9353983,,,,human,true,
Blevins Cemetery,United States,West Virginia,McDowell County,Garland,Garland,,37.3973344,-81.7592784,,,,human,true,
Bone Cemetery,United States,West Virginia,Raleigh County,Pineknob,Pineknob,,37.854277,-81.4784409,,,,human,true,
Bowles Cemetery,United States,West Virginia,McDowell County,Union City,Union City,,37.4303895,-81.7931693,,,,human,true,
Bradford Cemetery,United States,West Virginia,Raleigh County,Rock Creek,Rock Creek,,37.8492775,-81.4406624,,,,human,true,
Brown Cemetery,United States,West Virginia,Mercer County,Brush Fork,Brush Fork,,37.2851168,-81.2767663,,,,human,true,
Browning Cemetery,United States,West Virginia,Logan County,Blair,Blair,,37.8764938,-81.8351198,,,,human,true,
Browning Cemetery,United States,West Virginia,Wayne County,Doane,Doane,,37.9603719,-82.3773688,,,,human,true,
Bryant Memorial Cemetery,United States,West Virginia,Mercer County,Wolfe,Wolfe,,37.3115051,-81.3309346,,,,human,true,
Butt Cemetery,United States,West Virginia,Mercer County,Abbs Valley (historical),Abbs Valley (historical),,37.3126166,-81.2834333,,,,human,true,
Butt Cemetery,United States,West Virginia,Mercer County,Simmons,Simmons,,37.3187694,-81.2860839,,,,human,true,
Campbell Cemetery,United States,West Virginia,Logan County,Stollings (historical),Stollings (historical),,37.9456557,-82.0584633,,,,human,true,
Chapman Cemetery,United States,West Virginia,Mingo County,Baisden,Baisden,,37.5970533,-81.913175,,,,human,true,
Clark Cemetery,United States,West Virginia,Mingo County,Lenore,Lenore,,37.7945435,-82.2787519,,,,human,true,
Clark Cemetery,United States,West Virginia,Wayne County,Wilsondale,Wilsondale,,37.9803727,-82.3012545,,,,human,true,
Clay Cemetery,United States,West Virginia,Raleigh County,Matville,Matville,,37.8187238,-81.2942704,,,,human,true,
Cline Cemetery,United States,West Virginia,Wyoming County,Long Branch,Long Branch,,37.6264987,-81.7712255,,,,human,true,
Coffee Cemetery,United States,West Virginia,Mercer County,Goodwill,Goodwill,,37.3640051,-81.2845446,,,,human,true,
Collins Cemetery,United States,West Virginia,McDowell County,Litwar,Litwar,,37.4734445,-81.8276155,,,,human,true,
Conley Cemetery,United States,West Virginia,Logan County,Whirlwind,Whirlwind,,37.9012111,-82.1151326,,,,human,true,
Cook Cemetery,United States,West Virginia,Raleigh County,Dameron,Dameron,,37.8265008,-81.3687163,,,,human,true,
Cook Cemetery,United States,West Virginia,Boone County,Ramage,Ramage,,37.9831584,-81.8303991,,,,human,true,
Coopers Cemetery,United States,West Virginia,Mercer County,Coopers,Coopers,,37.325394,-81.3267678,,,,human,true,
Core Cemetery,United States,West Virginia,Logan County,Rum Junction,Rum Junction,,37.825938,-81.9401226,,,,human,true,
Craddock Cemetery,United States,West Virginia,Logan County,Lake,Lake,,37.9137141,-81.9259568,,,,human,true,
Curry Cemetery,United States,West Virginia,Logan County,Whitman Junction,Whitman Junction,,37.8328808,-82.0415162,,,,human,true,
Damron Cemetery,United States,West Virginia,Mingo County,Trace,Trace,,37.8795434,-82.1890256,,,,human,true,
Daniel Cemetery,United States,West Virginia,Raleigh County,Matville,Matville,,37.8370565,-81.323438,,,,human,true,
Daniels Cemetery,United States,West Virginia,Raleigh County,Redbird,Redbird,,37.7903897,-81.4423278,,,,human,true,
Davis Cemetery,United States,West Virginia,Mingo County,Maher,Maher,,37.775099,-82.3206979,,,,human,true,
Davis Cemetery,United States,West Virginia,Fayette County,Roseville (historical),Roseville (historical),,37.9242778,-81.2606609,,,,human,true,
Delp Cemetery,United States,West Virginia,Mercer County,Abbs Valley (historical),Abbs Valley (historical),,37.3065053,-81.3039894,,,,human,true,
Dickens Cemetery,United States,West Virginia,Raleigh County,Pineknob,Pineknob,,37.8131667,-81.48094,,,,human,true,
Dillon Cemetery,United States,West Virginia,Raleigh County,Matville,Matville,,37.8415007,-81.3448273,,,,human,true,
Dingess Cemetery,United States,West Virginia,Logan County,Stollings (historical),Stollings (historical),,37.9264893,-82.0681857,,,,human,true,
Dingess Cemetery,United States,West Virginia,Logan County,Halcyon,Halcyon,,37.9695432,-82.0979103,,,,human,true,
Elk Trace Cemetery,United States,West Virginia,Wyoming County,Guyan,Guyan,,37.6464984,-81.7726146,,,,human,true,
Ellis Cemetery,United States,West Virginia,Logan County,Hedgeview,Hedgeview,,37.8463318,-82.0403041,,,,human,true,
Estep Cemetery,United States,West Virginia,McDowell County,Panther,Panther,,37.465666,-81.9356759,,,,human,true,
